SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
79	4	17	22	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
80	4	17	22	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
81	4	17	22	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
82	4	17	22	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
83	4	17	22	APC,TP53,PIK3CA,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
84	5	17	26	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
85	5	18	25	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
86	5	18	25	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
87	5	18	25	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
88	5	18	25	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
89	5	18	25	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2
90	5	19	24	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2,NCK1
91	5	19	24	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2,NCK1
92	5	19	24	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2,NCK1
93	5	19	24	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2,NCK1
94	5	19	24	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2,NCK1
95	5	19	24	APC,TP53,PIK3CA,PTEN,PBRM1,MACF1,MTOR,NRXN1,MYO16,ZNF512B,VAV2,SIPA1L1,PDZD2,TNIK,DST,ATF7IP,SYNE1,DISC1,GRB2,TTN,ATXN1,SMAD9,ESR2,NCK1
