Gene	VHL	ZNF512B	PBRM1	EPAS1	HIF1A	MDFI	APC	TCEB1	TCEB2	SQSTM1	FBXW11	SH3BP5	CUL2	VEGFA	ARNT	TP53	DST	DDX41	PIK3CA	ESR2	KDR	SYNE1	MTOR	SIAH1	SPTBN1	MLH1	SMAD3	SMAD9	SMAD1	MGAT1	RBX1	ABL1	UIMC1	BPTF	CRK	GABARAPL2	HSP90AA1	MACF1	DISC1	TGFBR1	SMAD4	SKIL	MAPK6	SMAD2	SLU7	GOLGA2	RUFY1	TNIK	FYN	ATN1	PDZD2
TCGA-CJ-4635-01			1																																																
TCGA-A3-3322-01			1																																																
TCGA-CJ-5682-01			1																																																
TCGA-A3-3311-01			1																																																
TCGA-A3-3367-01			1																																																
TCGA-AK-3460-01			1																																																
TCGA-CJ-4923-01			1																																																
TCGA-DV-5566-01			1																																																
TCGA-BP-4158-01			1																																																
TCGA-CZ-5456-01			1																																																
TCGA-CW-5589-01			1																																																
TCGA-AK-3431-01			1																																																
TCGA-B0-5698-01			1																																																
TCGA-CZ-4854-01			1																																																
TCGA-BP-4774-01			1																																																
TCGA-B4-5377-01			1																																																
TCGA-CJ-4888-01			1																																																
TCGA-BP-4985-01			1																																																
TCGA-B0-4849-01			1																																																
TCGA-CJ-4905-01			1																																																
TCGA-BP-5189-01			1																																																
TCGA-CZ-5453-01			1																																																
TCGA-B0-5694-01			1																																																
TCGA-B0-5120-01			1																																																
TCGA-BP-4973-01			1																																																
TCGA-B8-4620-01				1																																															
TCGA-BP-5191-01				1																																															
TCGA-B0-4843-01							1								1																																				
TCGA-BP-4170-01							1																																												
TCGA-CZ-5468-01							1																																												
TCGA-BP-4354-01							1																																												
TCGA-CZ-4862-01								1									1																																		
TCGA-B8-5545-01								1																																											
TCGA-CJ-4889-01								1																																											
TCGA-B0-4701-01										1	1	1						1								1				1			1												1		1				
TCGA-BP-4775-01										1	1	1						1								1				1			1												1		1				
TCGA-DV-5569-01										1	1	1						1								1				1			1												1		1				
TCGA-CZ-5464-01										1	1	1						1								1				1			1												1		1				
TCGA-BP-4335-01										1	1	1						1								1				1			1												1		1				
TCGA-B2-4101-01										1	1	1						1								1				1			1												1		1				
TCGA-AK-3454-01										1	1				1			1												1			1												1		1				
TCGA-CJ-4886-01										1	1							1	1											1			1												1		1				
TCGA-A3-3380-01										1	1							1					1							1			1												1		1				
TCGA-B8-5552-01										1	1							1												1			1				1								1		1				
TCGA-A3-3335-01										1	1							1												1			1												1		1				
TCGA-BP-4959-01										1	1							1												1			1												1		1				
TCGA-CJ-4876-01										1	1							1												1			1												1		1				
TCGA-B8-A54J-01										1	1							1												1			1												1		1				
TCGA-BP-4777-01										1	1							1												1			1												1		1				
TCGA-A3-3370-01										1	1							1												1			1												1		1				
TCGA-B8-A7U6-01										1	1							1												1			1												1		1				
