TCGA-VQ-A91Q-01		1								1													1										1											1																																																																	1																																																																																																																																																																					1																														1																																																															1										1											1																																																																																																																
TCGA-B7-5816-01		1								1															1																																																																																																																																																																			1																																																																																												1																																																																																																																																													1																																																																															
TCGA-BR-8485-01		1															1	1							1																							1																			1																																		1								1							1																																																													1										1	1																1																																										1		1			1																													1																								1					1																																																																																														1																		1									1																																																											1			1								
TCGA-BR-8368-01		1																							1																								1																																																												1																																																																															1																																																																																												1																								1																																																																																																																					1																																																																															
TCGA-CG-4476-01		1																															1																		1																																											1																																			1																																																																																																																																																																																																																																													1																																																																																																					1																											1						
TCGA-BR-6801-01		1																															1																																																																																																																																																																																																																																											1																																																																									1																																																																																													1																																																																		
TCGA-BR-6563-01		1																																	1						1																																																																																																								1																															1																				1															1																																																																																																																																																																																																																																																																																																	
TCGA-CG-4443-01		1																																			1																																																																																																																																																															1																																																																																																																																																																																																																													1																																																																																			
TCGA-CD-8535-01		1																																																														1																				1																																																																																		1	1																																																																																								1															1																														1																																																																1																																1																																																																																							1					1	1											
TCGA-VQ-AA64-01		1																																																																																																								1																							1				1																		1												1																																				1																		1																																																																		1																																																																			1																																														1													1																													1																																																														
TCGA-HU-A4H5-01			1		1														1														1																				1														1																																																									1																																																																				1																																																																																																																																	1																																																						1													1											1		1																															1																																	1																												1							
TCGA-D7-A4YX-01			1			1	1																																			1																																																																																																																																																																																																																																																																																																														1																																																																																																																																																												
TCGA-D7-A6EZ-01			1			1				1																																1																																																																																												1																							1									1																														1																																																										1																																																						1	1																											1								1																																																																								1																																																																																				
TCGA-D7-A747-01			1			1											1																																																		1																																																															1																																																																																																			1																			1																																																																																																																																																																																																														1																																														
TCGA-VQ-AA69-01			1			1																																																																																																																																																																																																																																																																																																																	1																																																										1																																																																																																																		1																	
TCGA-HU-A4G6-01			1				1																										1																																																																																																																																																			1																																																																																																					1																																																																																																								1																																																																																																																			
TCGA-D7-8573-01			1						1																																																																																																																												1																																										1																					1																																									1																																																																																																																																																				1	1																																																																																																																		
TCGA-BR-4188-01			1									1		1																					1														1																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
TCGA-HF-7134-01			1																												1																								1												1																																		1																																																																																																																																																																																																																																																		1							1							1																																																																																																																															1										1						
TCGA-D7-6524-01			1																																																																1												1																																																																													1																														1																			1																																1																																																																																																																																																																																																																																																1																							
TCGA-BR-A4J5-01			1																																																																																																																																																																																																																																																																																	1																																																																																																																																																																																			1																																													
TCGA-VQ-A8E0-01				1	1																																																																						1																																																																																																																																																																					1							1																																																																												1																																												1																																																																																																																																					
TCGA-BR-6706-01				1		1				1																															1																			1	1																																																																																																																																																																																																																													1								1																																																																																																																	1																1																																																																																	
TCGA-BR-4369-01				1			1											1																																																														1																																																																																				1																				1																																																																																																																																																												1								1		1																																																																																					1																																									1																								
TCGA-RD-A7BT-01				1			1																					1																																							1																																												1																																																				1																																												1																							1																				1																	1	1															1														1																																																																																																																																																																																																											
TCGA-D7-8575-01				1					1								1							1					1																				1																																																																																																																																																																																																																																																																																																																																							1								1																																																																							1																												1																	
TCGA-BR-7717-01				1					1												1		1			1				1			1																						1					1																																																																		1	1																																																																																																													1																																																																																							1						1																																											1																																												1																																												1																					1																			1
TCGA-ZQ-A9CR-01				1																	1									1																																																																																																	1																																																																																																													1																																																																																																																																																				1																																																																																																	1																			
TCGA-RD-A7C1-01				1																	1																																		1																																																											1																																	1													1									1																								1																																																														1																													1		1																				1																							1																								1																																										1			1							1																			1									1																														1													1			1							1						1								
TCGA-BR-7703-01				1																				1					1																																														1																																																																																																																																																																												1																																																																																																																																									1																																																																																																																				
TCGA-BR-A4J2-01				1																										1																											1																																1																																						1									1																																																												1																																								1																																																																																																																																																					1	1																																																																																															1		1									1								
TCGA-KB-A93H-01				1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
TCGA-BR-4371-01					1	1												1																																																																																										1	1																	1																																																1																		1																																																																																																																1																			1																																										1																																1						1																																																																																																	
TCGA-BR-8366-01					1	1																													1																																																																																																																																				1																													1																																																																																																																	1																											1															1																																			1																																																																																																	1																	
TCGA-HU-A4G2-01					1	1																																																																																																																																																																																																																																																																																														1																																																															1																																																																																																																																																	
TCGA-VQ-A925-01					1		1														1									1																			1																																							1																																							1																																										1									1																								1																																		1																																																																																																																																			1																						1																																																																																												1							1												
TCGA-VQ-AA6D-01					1		1																																																					1			1	1										1																																																																																																																																																																																																																																																																																																																																																																																																																														1												
TCGA-CG-4441-01					1				1					1										1																											1									1																													1																																																																																																																																																																																																																																										1																																																																																													1				1																					1							1																																1																				
TCGA-HU-A4H4-01					1					1											1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
TCGA-3M-AB46-01					1					1													1										1																																																																																																																																																																																																																																																																																																																																	1																																																																																																																																																		
TCGA-BR-7958-01					1					1																																																																																											1						1		1								1									1																																																																																																																		1																																																																											1								1																																																																																																																																																																																	
TCGA-BR-8370-01					1							1																														1							1																																																				1																																																					1																																										1																																					1																																																																												1																																			1																																																																																																																																											1																	
TCGA-BR-4279-01					1							1																																																																																																																																																														1																																																																																																																																																																																																																																																																																																																																										
TCGA-R5-A805-01					1								1																																																																																								1																								1																																																	1																																																																								1																																																																																																																																																																1																																																																						1			1																					
TCGA-HF-7136-01					1															1																																											1																																																																																	1																																	1																																																																																																																1																																			1																							1																																				1																																									1																																																																1						1						
TCGA-CD-5803-01					1																1																																																																																																																																																																																																																																																																																																																																														1																						1																																																																																																																											
TCGA-VQ-A94R-01					1																1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
TCGA-R5-A7ZR-01					1																		1										1																															1			1																																																																																																																																																																																																																																																								1																																	1																																			1																																																																																																									1												
TCGA-CD-8529-01					1																									1		1	1											1		1					1																				1											1															1																												1		1																																								1																													1																					1							1					1							1																																																																																										1						1																						1						1																									1																																																																																																1							1												
TCGA-BR-7722-01					1																														1														1																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
TCGA-CG-4304-01					1																																																							1																																																																																																																																																																																																																																																																																																																																																							1																																																									1													1																											
TCGA-BR-6564-01					1																																																																						1																																																																																																																																																																												1																																																																																																																																																																																																																																											1																		
TCGA-KB-A6F7-01					1																																																																																								1											1																																																																																					1																																			1																																																																																																																																																																																																																																																																					1									1						
TCGA-BR-A4J6-01					1																																																																																																																																																																																												1				1																																																																																																																																																												1														1					1																																																																																																																																
TCGA-CG-5719-01					1																																																																																																																																																																																																																																																																																																		1																																																																																																					1																																																																																																		1						
TCGA-VQ-A8PS-01					1																																																																																																																																																																																																																																																																																																																																																																										1																																																																																																																																					
TCGA-VQ-A8PY-01					1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														1																	
TCGA-BR-8487-01					1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																															
TCGA-BR-8381-01						1	1						1																												1																								1																																																																															1																																																																																																																																																																																																																																																																																																					1											1																																																				
TCGA-HU-A4H0-01						1	1																												1																																						1																																																																																		1																														1																																																						1																																																																		1																																													1																										1									1																																																									1																	1										1																															
TCGA-BR-8588-01						1	1																																																																																																	1																																									1																																						1																																																																																																																						1								1																																																															1																									1																																																																																																							
TCGA-FP-7998-01						1		1																																																				1													1																																																																												1														1																																																																																																																																													1																																																															1																																																																																																																																					
TCGA-CG-4474-01						1			1		1	1					1																																										1																																																																																																																																																																																																				1																																																																																																																				1	1																			1										1																																																													1									1																													
TCGA-VQ-AA6K-01						1			1								1																											1					1						1																																																																1																																																																																																																																																																																														1																																																										1																																																																																																																																					
TCGA-BR-6454-01						1			1									1																		1					1																							1											1																																							1																																																															1																																																																						1																																																																																															1																																																																																																					1																																													1												
TCGA-D7-5577-01						1				1			1																																																																																																																																																																																																																																																																																					1																																							1																																																													1				1									1																																				1																										1																												1							
TCGA-BR-8676-01						1				1																								1															1																																																																																																																																																																																																					1																																																																																																																																																																	1																																																																																													
TCGA-CD-5801-01						1				1																																								1																																																			1	1				1						1																																																1							1														1													1								1																							1																																																																																				1												1		1															1																						1						1																														1																																																1																					1																																			
TCGA-BR-8686-01						1						1																																																																																																													1																																																																																																																																																																																																																																																																																																																								1															1																																												1		1						
TCGA-BR-6707-01						1							1																																																	1							1																																																																																																																															1																																																																																							1																																																																																																																													1																																1																																																												
TCGA-BR-8284-01						1							1																																																										1										1																																									1									1																																																									1							1	1																																																																																			1																																																																																																									1	1									1																																																																																										1																
TCGA-BR-4253-01						1							1																																																																								1																																																																																																																																												1																																																									1																																																																																																																																																																																																																										
TCGA-HU-8608-01						1																																																						1																																																																																															1								1																																																																																																																																																																											1																																1																																																																																																																																						
TCGA-CG-5722-01						1																																																													1																																																																																																																																																																																																									1																																																																																																		1																																														1																																																																																								
TCGA-BR-7196-01						1																																																																				1																																							1																		1																																																																																																																																																																																																											1	1																																																																																																																													1																																								
TCGA-FP-7916-01						1																																																																																			1																	1																																																																																																																																																																																																																																																																																																																																																																																																										
TCGA-B7-A5TK-01						1																																																																																																																																																																											1																																																																																																																																																																																																																																1																																													1																																					1																	
TCGA-BR-6455-01						1																																																																																																																																																																																							1							1																																																																																																																																																													1																			1																																																																																																																																
TCGA-CG-4301-01							1	1	1	1						1																																																											1																																		1																																																																																																																																										1																				1																																																																																																				1																																	1																																																											1																																									
TCGA-VQ-A922-01							1	1		1						1														1																						1								1		1		1																																																														1	1													1																																																																					1																											1				1																																																																																			1																																												1																																	1																																																																																	1													1						
TCGA-D7-8579-01							1		1																																																																																			1																																																																																																																																																														1																																																											1																																																							1																																1																																																																																																								
TCGA-FP-A8CX-01							1			1		1																																																																													1																																																																																																																																1																																																																																																																																					1																	1																1													1																																																																																																								
TCGA-IN-A6RN-01							1			1			1			1																																																																																																																																																																																																																																																																															1																																																																																1		1																																				1																																																							1																																								1
TCGA-BR-7959-01							1								1																																																1																										1																																																																																																																																																																	1																																																																																							1																														1																															1																																																																																																						
TCGA-IN-A6RO-01							1										1																																1								1							1																																																						1																															1																																																																																											1						1																																																																																											1																				1																																								1		1				1																			1																																1									1				1	1																																
TCGA-VQ-A92D-01							1														1			1														1			1														1											1								1	1								1							1																1																																																																									1																																														1																						1																																																																																				1																																1										1										1																						1																1																																																																															
