ATM,IKBKG,any
TP53,SMARCA4,any
ATM,TP53,any
>SMARCA4,5.158060393377076
SMARCA4,CTNNB1,any
SMARCA4,TP53,any
TP53,ATM,any
>SMARCA4,5.181678458035642
APC,TP53,any
SYNE1,APC,any
TP53,SMARCA4,any
>SMARCA4,5.384414830991357
SMARCA4,HDAC2,any
HDAC2,SMAD4,any
HDAC2,TP53,any
>SMARCA4,5.257793151726464
SMARCA4,CTNNB1,any
CTNNB1,CDH1,any
SMARCA4,TP53,any
>NRAS,4.695821230838698
NRAS,EEF1A1,any
NRAS,SMAD4,any
LAMA4,TP53,any
EEF1A1,LAMA4,any
>NRAS,5.074108221416697
SMAD4,NRAS,any
SMAD4,KAT2B,any
KAT2B,TP53,any
>NRAS,4.760541782298388
NRAS,EEF1A1,any
NRAS,SMAD4,any
EEF1A1,KRAS,any
>NRAS,4.851020934455336
VDR,SMAD4,any
VDR,TP53,any
SMAD4,NRAS,any
>NRAS,5.089464574838935
NRAS,SMAD4,any
SERPINE1,TP53,any
SMAD4,SERPINE1,any
>SAP18,5.1237947245097795
SAP18,SKIL,any
HDAC2,SAP18,any
HDAC2,TP53,any
>SAP18,5.112908058670913
GLI3,SAP18,any
HDAC2,TP53,any
GLI3,HDAC2,any
>SAP18,5.082241528441356
SAP18,SMAD4,any
SMAD4,KAT2B,any
KAT2B,TP53,any
>SAP18,5.593700360804244
SAP18,HDAC2,any
SAP18,SMAD4,any
