SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
87	10	24	31	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,NCK1
88	10	24	31	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,NCK1
89	10	24	31	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,NCK1
90	10	25	30	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,NCK1
91	10	26	29	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,NCK1
92	10	26	29	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,NCK1
93	10	27	28	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,NCK1,PAK1
94	10	28	28	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,NCK1,PAK1
95	10	28	28	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,NCK1,PAK1
96	10	28	28	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,NCK1,PAK1
97	10	29	27	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,ATXN1,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,NCK1,PAK1
98	10	29	27	TP53,CTNNB1,APC,PIK3CA,CDH1,SMAD4,ERBB2,RAC1,PIK3R1,ABL1,NRXN1,SIPA1L1,MACF1,MYO16,PDZD2,VCAN,RHOA,VAV2,SYNE1,RANBP2,CACNA1A,NAV3,OBSCN,CRK,ATXN1,CDH2,NEB,RELN,ATF7IP,GRB2,ERBB3,FYN,TTN,CDC42,SMAD9,DISC1,TNIK,NCK1,PAK1
