protein1	protein2	biogrid_id	interaction_type	pmid
ABCF1	UBC	BIOGRID:607243;BIOGRID:622318;BIOGRID:625993;BIOGRID:631447;BIOGRID:849543;BIOGRID:943103	physical association	pubmed:17370265;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:24816145
ABCF2	UBC	BIOGRID:1030028;BIOGRID:608335;BIOGRID:608941;BIOGRID:621641;BIOGRID:626704;BIOGRID:630812;BIOGRID:729178;BIOGRID:730381;BIOGRID:846231;BIOGRID:849948;BIOGRID:943687	physical association	pubmed:18781797;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22053931;pubmed:22505724;pubmed:23000965;pubmed:24816145;pubmed:25147182
ABCF3	UBC	BIOGRID:621667;BIOGRID:630834;BIOGRID:730299;BIOGRID:944489	physical association	pubmed:21139048;pubmed:21906983;pubmed:22053931;pubmed:24816145
ABCG1	UBC	BIOGRID:611712;BIOGRID:732725	physical association	pubmed:21817095;pubmed:22505724
ABCG2	UBC	BIOGRID:724347;BIOGRID:847227	physical association	pubmed:19909340;pubmed:21963094
ABHD10	UBC	BIOGRID:621616;BIOGRID:626451;BIOGRID:630789	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983
ABHD11	UBC	BIOGRID:624468;BIOGRID:627283;BIOGRID:939729	physical association	pubmed:21890473;pubmed:21906983;pubmed:24654937
ABHD12	UBC	BIOGRID:624834;BIOGRID:939693	physical association	pubmed:21890473;pubmed:24654937
ABHD16A	RNF5	BIOGRID:1041798;BIOGRID:119400	direct interaction	pubmed:14667819;pubmed:25416956
ABHD16A	UBC	BIOGRID:608970;BIOGRID:623442;BIOGRID:850623	physical association	pubmed:21890473;pubmed:21987572;pubmed:23000965
ABHD2	UBC	BIOGRID:1031284;BIOGRID:623300;BIOGRID:628679;BIOGRID:730533;BIOGRID:847908;BIOGRID:851863	physical association	pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:23000965;pubmed:25147182
ABHD3	UBC	BIOGRID:623584;BIOGRID:628046;BIOGRID:845453	physical association	pubmed:21890473;pubmed:21906983;pubmed:21963094
ABHD4	UBC	BIOGRID:617870;BIOGRID:624681;BIOGRID:846155;BIOGRID:849862	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:23000965
ABHD5	PLIN1	BIOGRID:1028409;BIOGRID:1028411;BIOGRID:886371	direct interaction	pubmed:17189257;pubmed:21757733
ABHD5	PNPLA2	BIOGRID:1028410;BIOGRID:1028413;BIOGRID:887140;BIOGRID:887141	direct interaction;physical association	pubmed:17189257;pubmed:23297223
ABHD5	UBC	BIOGRID:621136;BIOGRID:846469	physical association	pubmed:21139048;pubmed:21963094
ABHD6	UBC	BIOGRID:622126;BIOGRID:631272;BIOGRID:731852	physical association	pubmed:21139048;pubmed:21906983;pubmed:22505724
ABI1	ABL1	BIOGRID:1023697;BIOGRID:1023698;BIOGRID:1023699;BIOGRID:259486;BIOGRID:275024;BIOGRID:315410	direct interaction;physical association	pubmed:11418237;pubmed:12672821;pubmed:18328268;pubmed:9010225
ABI1	EPS8	BIOGRID:253415;BIOGRID:275023;BIOGRID:275025;BIOGRID:275026;BIOGRID:287750	direct interaction;physical association	pubmed:11099046;pubmed:14565974;pubmed:9010225
ABI1	NCK1	BIOGRID:315409;BIOGRID:727655	direct interaction;physical association	pubmed:11418237;pubmed:11557983
ABI1	UBC	BIOGRID:621759;BIOGRID:730362;BIOGRID:943612	physical association	pubmed:21139048;pubmed:22505724;pubmed:24816145
ABI2	ABL1	BIOGRID:244803;BIOGRID:286539;BIOGRID:286540	direct interaction;physical association	pubmed:12569093;pubmed:7590236
ABI2	IFT20	BIOGRID:1045042;BIOGRID:121268	direct interaction	pubmed:16189514;pubmed:25416956
ABI2	KRT15	BIOGRID:1039531;BIOGRID:121877	direct interaction	pubmed:16189514;pubmed:25416956
ABI2	NCK2	BIOGRID:1043630;BIOGRID:120670	direct interaction	pubmed:16189514;pubmed:25416956
ABI2	TRIM32	BIOGRID:1045029;BIOGRID:327951;BIOGRID:327952;BIOGRID:327953	direct interaction;physical association	pubmed:18632609;pubmed:25416956
ABI2	UBC	BIOGRID:327954;BIOGRID:621179;BIOGRID:730394;BIOGRID:833141;BIOGRID:849325;BIOGRID:946039	physical association	pubmed:18632609;pubmed:21139048;pubmed:22505724;pubmed:23000965;pubmed:23444366;pubmed:24816145
ABI3	CEP44	BIOGRID:1047323;BIOGRID:121887	direct interaction	pubmed:16189514;pubmed:25416956
ABI3	EIF3H	BIOGRID:1043862;BIOGRID:120713;BIOGRID:838687	direct interaction	pubmed:16189514;pubmed:19060904;pubmed:25416956
ABI3	RUNX1T1	BIOGRID:1037348;BIOGRID:119765	direct interaction	pubmed:16189514;pubmed:25416956
ABL1	ABL1	BIOGRID:1059476;BIOGRID:244564	direct interaction	pubmed:12654250;pubmed:16397227
ABL1	ABL2	BIOGRID:1023891;BIOGRID:245193;BIOGRID:245331;BIOGRID:245415	direct interaction;physical association	pubmed:12569093;pubmed:15735735
ABL1	ATM	BIOGRID:1032041;BIOGRID:15662;BIOGRID:245236;BIOGRID:245345;BIOGRID:279504;BIOGRID:279505;BIOGRID:314734;BIOGRID:314735;BIOGRID:520799;BIOGRID:560160	direct interaction;physical association	pubmed:10212258;pubmed:11375976;pubmed:17409407;pubmed:20798688;pubmed:9168116;pubmed:9168117
ABL1	ATR	BIOGRID:245106;BIOGRID:560159;BIOGRID:560161	direct interaction;physical association	pubmed:10608806;pubmed:20798688
ABL1	BCAR1	BIOGRID:244862;BIOGRID:314746	direct interaction;physical association	pubmed:7780740;pubmed:8810278
ABL1	BCR	BIOGRID:244211;BIOGRID:244369;BIOGRID:276842;BIOGRID:276845	direct interaction;physical association	pubmed:12543778;pubmed:1712671;pubmed:8112292
ABL1	BRCA1	BIOGRID:244034;BIOGRID:244035;BIOGRID:722943;BIOGRID:722944;BIOGRID:722945;BIOGRID:829920	direct interaction;physical association	pubmed:12024016;pubmed:17352427
ABL1	CBL	BIOGRID:1035752;BIOGRID:302170;BIOGRID:314736;BIOGRID:314739;BIOGRID:314740;BIOGRID:676985;BIOGRID:677013;BIOGRID:677177;BIOGRID:677180;BIOGRID:677182;BIOGRID:692321;BIOGRID:692694;BIOGRID:716366;BIOGRID:717120;BIOGRID:717123;BIOGRID:717126;BIOGRID:719372;BIOGRID:725756;BIOGRID:725855;BIOGRID:726632;BIOGRID:727589	direct interaction;physical association	pubmed:10829062;pubmed:11494134;pubmed:12475393;pubmed:14604282;pubmed:14725908;pubmed:15556646;pubmed:16955467;pubmed:19380743;pubmed:19823681;pubmed:20675402;pubmed:8626543;pubmed:9174058;pubmed:9195915
ABL1	CRK	BIOGRID:1023555;BIOGRID:1026567;BIOGRID:1028382;BIOGRID:1028387;BIOGRID:725759;BIOGRID:726416;BIOGRID:726636;BIOGRID:727611	direct interaction;physical association	pubmed:15696159;pubmed:18619508;pubmed:18835194;pubmed:19380743;pubmed:8194526
ABL1	CRKL	BIOGRID:245237;BIOGRID:245466;BIOGRID:245467;BIOGRID:245468;BIOGRID:245469;BIOGRID:275464;BIOGRID:328312;BIOGRID:676986;BIOGRID:677014;BIOGRID:696529;BIOGRID:719377;BIOGRID:727587;BIOGRID:727615	direct interaction;physical association	pubmed:14604282;pubmed:16955467;pubmed:18835194;pubmed:19823681;pubmed:7926767;pubmed:8524328;pubmed:8978305;pubmed:9710592;pubmed:9820532
ABL1	DOK1	BIOGRID:277636;BIOGRID:280235;BIOGRID:280236;BIOGRID:677012;BIOGRID:808087;BIOGRID:874413;BIOGRID:874415;BIOGRID:874417;BIOGRID:904011	direct interaction;physical association	pubmed:10688886;pubmed:11071635;pubmed:19823681;pubmed:22974441;pubmed:9008161;pubmed:9822717
ABL1	GRB10	BIOGRID:245238;BIOGRID:314345	direct interaction;physical association	pubmed:9006901;pubmed:9747873
ABL1	GRB2	BIOGRID:1028383;BIOGRID:279923;BIOGRID:328311;BIOGRID:328314;BIOGRID:676987;BIOGRID:677011;BIOGRID:692316;BIOGRID:692318;BIOGRID:725753;BIOGRID:726635;BIOGRID:887055	direct interaction;physical association	pubmed:14725908;pubmed:16955467;pubmed:19380743;pubmed:19823681;pubmed:23950177;pubmed:7926767;pubmed:8194526;pubmed:9407116
ABL1	HSP90AA1	BIOGRID:503128;BIOGRID:567778;BIOGRID:591445;BIOGRID:828955;BIOGRID:874422	physical association	pubmed:15937340;pubmed:16723087;pubmed:20675402;pubmed:21248063;pubmed:22939624
ABL1	HSPA4	BIOGRID:503129;BIOGRID:874424	physical association	pubmed:15937340;pubmed:16723087
ABL1	INPPL1	BIOGRID:275593;BIOGRID:725751;BIOGRID:726631	physical association	pubmed:10194451;pubmed:19380743
ABL1	JUN	BIOGRID:1026566;BIOGRID:1026569;BIOGRID:679758	direct interaction;physical association	pubmed:18619508;pubmed:19818398
ABL1	MAPT	BIOGRID:1028476;BIOGRID:1028477;BIOGRID:727580	direct interaction;physical association	pubmed:16014719;pubmed:18070606
ABL1	MSH5	BIOGRID:1059471;BIOGRID:1059472;BIOGRID:1059473;BIOGRID:1059474;BIOGRID:1059475;BIOGRID:1059479;BIOGRID:1059480	direct interaction;physical association	pubmed:16397227;pubmed:19442657
ABL1	NCK1	BIOGRID:314737;BIOGRID:328310;BIOGRID:328313;BIOGRID:676053;BIOGRID:727003	direct interaction;physical association	pubmed:10372803;pubmed:10967110;pubmed:11494134;pubmed:7926767
ABL1	NEDD9	BIOGRID:287484;BIOGRID:298201	physical association	pubmed:8668148;pubmed:8879209
ABL1	NTRK1	BIOGRID:15694;BIOGRID:297132;BIOGRID:314744	direct interaction;physical association	pubmed:10679771;pubmed:10708759
ABL1	PARK2	BIOGRID:557167;BIOGRID:557169;BIOGRID:557170;BIOGRID:561240;BIOGRID:607686;BIOGRID:607687;BIOGRID:607688;BIOGRID:607695;BIOGRID:607696	direct interaction;physical association	pubmed:20823226;pubmed:21209200
ABL1	PIK3R1	BIOGRID:244732;BIOGRID:692163;BIOGRID:692759;BIOGRID:692760;BIOGRID:725754	direct interaction;physical association	pubmed:16135792;pubmed:16219545;pubmed:19380743;pubmed:8294442
ABL1	RAD51	BIOGRID:1059489;BIOGRID:244754;BIOGRID:245214;BIOGRID:245239;BIOGRID:245809	direct interaction;physical association	pubmed:10212258;pubmed:19427856
ABL1	RB1	BIOGRID:1028335;BIOGRID:1028337;BIOGRID:244032;BIOGRID:278199;BIOGRID:796698;BIOGRID:796736	direct interaction;physical association	pubmed:7828850;pubmed:8242749;pubmed:8626527;pubmed:9071815
ABL1	SHC1	BIOGRID:275589;BIOGRID:276839;BIOGRID:725752;BIOGRID:726362;BIOGRID:726634	physical association	pubmed:10194451;pubmed:19380743;pubmed:8112292
ABL1	SORBS1	BIOGRID:317882;BIOGRID:677336;BIOGRID:677337	direct interaction;physical association	pubmed:11374898;pubmed:19891780
ABL1	SORBS2	BIOGRID:301556;BIOGRID:301557;BIOGRID:302171;BIOGRID:726902	direct interaction;physical association	pubmed:12475393;pubmed:18559503;pubmed:9211900
ABL1	TP73	BIOGRID:1059481;BIOGRID:277288;BIOGRID:277289;BIOGRID:277840	direct interaction;physical association	pubmed:10391250;pubmed:10391251;pubmed:19442657
ABL1	UBC	BIOGRID:567777;BIOGRID:887052;BIOGRID:887054	direct interaction;physical association	pubmed:21248063;pubmed:23950177
ABL1	WASF1	BIOGRID:726905;BIOGRID:853717;BIOGRID:853720	direct interaction;physical association	pubmed:10970852;pubmed:18559503
ABL1	XPO1	BIOGRID:1032129;BIOGRID:857403	direct interaction	pubmed:16109371;pubmed:22833565
ABL1	YWHAB	BIOGRID:1023543;BIOGRID:1023549;BIOGRID:855236	physical association	pubmed:15696159;pubmed:16888623
ABL1	YWHAE	BIOGRID:1023544;BIOGRID:1023550;BIOGRID:855237	physical association	pubmed:15696159;pubmed:16888623
ABL1	YWHAG	BIOGRID:1023542;BIOGRID:1023548;BIOGRID:855238	physical association	pubmed:15696159;pubmed:16888623
ABL1	YWHAH	BIOGRID:1023546;BIOGRID:1023552;BIOGRID:855239	physical association	pubmed:15696159;pubmed:16888623
ABL1	YWHAQ	BIOGRID:1023547;BIOGRID:1023553;BIOGRID:666523;BIOGRID:855240	direct interaction;physical association	pubmed:15696159;pubmed:16888623;pubmed:22649097
ABL1	YWHAZ	BIOGRID:1023545;BIOGRID:1023551;BIOGRID:855241	physical association	pubmed:15696159;pubmed:16888623
ABL2	ABL2	BIOGRID:1023892;BIOGRID:1028470	direct interaction	pubmed:15735735;pubmed:15886098
ABL2	CRK	BIOGRID:1028384;BIOGRID:1028386;BIOGRID:1028472;BIOGRID:726455	direct interaction;physical association	pubmed:15886098;pubmed:19380743;pubmed:8194526
ABL2	UBC	BIOGRID:1023893;BIOGRID:1030767	physical association	pubmed:15735735;pubmed:25147182
ABLIM1	UBC	BIOGRID:621478;BIOGRID:850549	physical association	pubmed:21139048;pubmed:23000965
ABT1	UBC	BIOGRID:618806;BIOGRID:626333;BIOGRID:944446	physical association	pubmed:21139048;pubmed:21890473;pubmed:24816145
ABTB1	CUL3	BIOGRID:1043662;BIOGRID:686293	direct interaction;physical association	pubmed:21145461;pubmed:25416956
ABTB2	UBC	BIOGRID:329706;BIOGRID:631360	physical association	pubmed:18429817;pubmed:21906983
ACAA1	UBC	BIOGRID:625967;BIOGRID:943415	physical association	pubmed:21890473;pubmed:24816145
ACAA2	UBC	BIOGRID:619962;BIOGRID:944098	physical association	pubmed:21139048;pubmed:24816145
ACACA	BRCA1	BIOGRID:244830;BIOGRID:244831;BIOGRID:445791;BIOGRID:445792;BIOGRID:697233;BIOGRID:717569;BIOGRID:717683;BIOGRID:717684	direct interaction;physical association	pubmed:12360400;pubmed:16326698;pubmed:16698035;pubmed:18452305;pubmed:19061860
ACACA	PRKAA1	BIOGRID:1023787;BIOGRID:941334	direct interaction;physical association	pubmed:18480843;pubmed:23455922
ACACA	UBC	BIOGRID:622297;BIOGRID:625966;BIOGRID:631419;BIOGRID:731191	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:22505724
ACACB	UBC	BIOGRID:622296;BIOGRID:631418	physical association	pubmed:21139048;pubmed:21906983
ACAD9	UBC	BIOGRID:620202;BIOGRID:944476	physical association	pubmed:21139048;pubmed:24816145
ACADM	UBC	BIOGRID:622294;BIOGRID:943525	physical association	pubmed:21139048;pubmed:24816145
ACADSB	UBC	BIOGRID:622291;BIOGRID:625962	physical association	pubmed:21139048;pubmed:21890473
ACADVL	UBC	BIOGRID:608004;BIOGRID:625961;BIOGRID:631415	physical association	pubmed:18781797;pubmed:21890473;pubmed:21906983
ACAP1	UBC	BIOGRID:732741;BIOGRID:945668	physical association	pubmed:22505724;pubmed:24816145
ACAT1	UBC	BIOGRID:622289;BIOGRID:625960;BIOGRID:631414	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983
ACAT2	ACAT2	BIOGRID:1036593;BIOGRID:895403	direct interaction	pubmed:21988832;pubmed:25416956
ACAT2	UBC	BIOGRID:622287;BIOGRID:625958;BIOGRID:729236;BIOGRID:943580;BIOGRID:986214	physical association	pubmed:21139048;pubmed:21890473;pubmed:22053931;pubmed:24816145;pubmed:25015289
ACBD3	UBC	BIOGRID:621322;BIOGRID:626005;BIOGRID:630534;BIOGRID:729217;BIOGRID:732038;BIOGRID:846973;BIOGRID:850781;BIOGRID:943699	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22053931;pubmed:22505724;pubmed:23000965;pubmed:24816145
ACBD5	UBC	BIOGRID:614611;BIOGRID:626014;BIOGRID:630640;BIOGRID:849799	physical association	pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965
ACBD6	UBC	BIOGRID:614856;BIOGRID:621272;BIOGRID:625765;BIOGRID:848395	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:22053931
ACCN2	PICK1	BIOGRID:268583;BIOGRID:282886;BIOGRID:282889	direct interaction;physical association	pubmed:11802773;pubmed:12578970
ACCS	ACCS	BIOGRID:1049565;BIOGRID:119771	direct interaction	pubmed:16189514;pubmed:25416956
ACD	POT1	BIOGRID:122165;BIOGRID:251110;BIOGRID:251112;BIOGRID:251263;BIOGRID:251264;BIOGRID:251265;BIOGRID:574491;BIOGRID:681719;BIOGRID:681836	direct interaction;physical association	pubmed:15181449;pubmed:15231715;pubmed:15383534;pubmed:16189514;pubmed:21044950
ACD	TINF2	BIOGRID:1046896;BIOGRID:251111;BIOGRID:251114;BIOGRID:251115;BIOGRID:251259;BIOGRID:251262;BIOGRID:574493;BIOGRID:681651;BIOGRID:681729	direct interaction;physical association	pubmed:15181449;pubmed:15231715;pubmed:15383534;pubmed:21044950;pubmed:25416956
ACE	AGT	BIOGRID:882483;BIOGRID:883553	direct interaction	pubmed:10969042;pubmed:15283675
ACE	UBC	BIOGRID:573316;BIOGRID:625613	direct interaction;physical association	pubmed:19850743;pubmed:21890473
ACE2	AGT	BIOGRID:882484;BIOGRID:883554	direct interaction	pubmed:10969042;pubmed:15283675
ACIN1	RNPS1	BIOGRID:669868;BIOGRID:669880;BIOGRID:828051;BIOGRID:828054	direct interaction	pubmed:22365833;pubmed:22388736
ACIN1	SAP18	BIOGRID:479398;BIOGRID:669874;BIOGRID:669881;BIOGRID:669883;BIOGRID:734869	direct interaction;physical association	pubmed:12665594;pubmed:16537548;pubmed:22388736
ACIN1	SRPK2	BIOGRID:828055;BIOGRID:828588;BIOGRID:906629	direct interaction;physical association	pubmed:22365833;pubmed:23602568
ACIN1	SUMO2	BIOGRID:614141;BIOGRID:636550;BIOGRID:984714	physical association	pubmed:19471022;pubmed:21693764;pubmed:25027693
ACIN1	SUMO3	BIOGRID:1050772;BIOGRID:984431	physical association	pubmed:25027693;pubmed:25391492
ACIN1	UBC	BIOGRID:607223;BIOGRID:617838;BIOGRID:624804;BIOGRID:944009	physical association	pubmed:17370265;pubmed:21139048;pubmed:21890473;pubmed:24816145
ACLY	ISG15	BIOGRID:1035946;BIOGRID:678110	physical association	pubmed:16009940;pubmed:16139798
ACLY	UBC	BIOGRID:1030948;BIOGRID:1036447;BIOGRID:560611;BIOGRID:608022;BIOGRID:622256;BIOGRID:625929;BIOGRID:631397;BIOGRID:729487;BIOGRID:729748;BIOGRID:731401;BIOGRID:814524;BIOGRID:846545;BIOGRID:850323;BIOGRID:939683;BIOGRID:943993;BIOGRID:948063	direct interaction;physical association	pubmed:16196087;pubmed:17550899;pubmed:18781797;pubmed:21139048;pubmed:21853274;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22053931;pubmed:22505724;pubmed:23000965;pubmed:23314748;pubmed:23932781;pubmed:24654937;pubmed:24816145;pubmed:25147182
ACLY	UBD	BIOGRID:733765;BIOGRID:886001	physical association	pubmed:22797925;pubmed:23862649
ACMSD	MAGEA11	BIOGRID:1040002;BIOGRID:121202	direct interaction	pubmed:16189514;pubmed:25416956
ACO1	FBXL5	BIOGRID:574034;BIOGRID:574042;BIOGRID:942302	physical association	pubmed:19762596;pubmed:24778179
