protein1	protein2	biogrid_id	interaction_type	pmid
KHDRBS3	UBC	BIOGRID:619112;BIOGRID:945964	physical association	pubmed:21139048;pubmed:24816145
KHK	UBC	BIOGRID:622472;BIOGRID:626136	physical association	pubmed:21139048;pubmed:21890473
KHNYN	UBC	BIOGRID:618131;BIOGRID:625232;BIOGRID:627558;BIOGRID:847715;BIOGRID:944975	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:24816145
KHSRP	SUMO1	BIOGRID:505874;BIOGRID:725248	physical association	pubmed:15161980;pubmed:17549794
KHSRP	UBC	BIOGRID:605876;BIOGRID:609102;BIOGRID:614894;BIOGRID:622646;BIOGRID:626408;BIOGRID:631733;BIOGRID:732542;BIOGRID:848425;BIOGRID:851589;BIOGRID:942855;BIOGRID:948061	physical association	pubmed:17550899;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22053931;pubmed:22118674;pubmed:22505724;pubmed:23000965;pubmed:24816145
KIAA0020	UBC	BIOGRID:604812;BIOGRID:618648;BIOGRID:944232	physical association	pubmed:21139048;pubmed:22178446;pubmed:24816145
KIAA0090	UBC	BIOGRID:1030252;BIOGRID:556012;BIOGRID:619273;BIOGRID:623123;BIOGRID:628603;BIOGRID:849236	physical association	pubmed:16335966;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:23000965;pubmed:25147182
KIAA0100	UBC	BIOGRID:1031275;BIOGRID:619507;BIOGRID:628816;BIOGRID:847401	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094;pubmed:25147182
KIAA0101	PCNA	BIOGRID:327839;BIOGRID:327842;BIOGRID:795803;BIOGRID:795805;BIOGRID:860195;BIOGRID:984271	direct interaction;physical association	pubmed:11313979;pubmed:16288740;pubmed:21628590;pubmed:24958773
KIAA0101	UBC	BIOGRID:1030811;BIOGRID:1060096;BIOGRID:608174;BIOGRID:610433;BIOGRID:619427;BIOGRID:628732;BIOGRID:729372;BIOGRID:732744;BIOGRID:845367;BIOGRID:847778;BIOGRID:851703;BIOGRID:939507;BIOGRID:939669;BIOGRID:945310	physical association	pubmed:18781797;pubmed:20972266;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22053931;pubmed:22505724;pubmed:23000965;pubmed:24654937;pubmed:24816145;pubmed:25147182
KIAA0182	RCOR3	BIOGRID:1046293;BIOGRID:120973;BIOGRID:838736	direct interaction	pubmed:16189514;pubmed:19060904;pubmed:25416956
KIAA0182	UBC	BIOGRID:618850;BIOGRID:626434;BIOGRID:945317	physical association	pubmed:21139048;pubmed:21890473;pubmed:24816145
KIAA0195	UBC	BIOGRID:619422;BIOGRID:625691	physical association	pubmed:21139048;pubmed:21890473
KIAA0196	UBC	BIOGRID:605900;BIOGRID:618977;BIOGRID:625029;BIOGRID:628335;BIOGRID:847979;BIOGRID:851934;BIOGRID:944196	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22118674;pubmed:23000965;pubmed:24816145
KIAA0226	PIK3C3	BIOGRID:446390;BIOGRID:942498;BIOGRID:956916	physical association	pubmed:19270696;pubmed:20562859;pubmed:24980960
KIAA0226	UVRAG	BIOGRID:446631;BIOGRID:942495	physical association	pubmed:19270696;pubmed:20562859
KIAA0317	UBC	BIOGRID:1030239;BIOGRID:619002	physical association	pubmed:21139048;pubmed:25147182
KIAA0368	UBC	BIOGRID:1031216;BIOGRID:609103;BIOGRID:618086;BIOGRID:625137;BIOGRID:627516;BIOGRID:729344;BIOGRID:846168;BIOGRID:849872;BIOGRID:943443	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22053931;pubmed:23000965;pubmed:24816145;pubmed:25147182
KIAA0391	UBC	BIOGRID:619748;BIOGRID:626347;BIOGRID:944941	physical association	pubmed:21139048;pubmed:21890473;pubmed:24816145
KIAA0408	SORBS3	BIOGRID:1044725;BIOGRID:119563	direct interaction	pubmed:16189514;pubmed:25416956
KIAA0415	UBC	BIOGRID:1030338;BIOGRID:609749;BIOGRID:618688;BIOGRID:628069;BIOGRID:732775;BIOGRID:846348	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724;pubmed:25147182
KIAA0430	UBC	BIOGRID:629088;BIOGRID:732728;BIOGRID:986143	physical association	pubmed:21906983;pubmed:22505724;pubmed:25015289
KIAA0528	UBC	BIOGRID:619027;BIOGRID:729821	physical association	pubmed:21139048;pubmed:21853274
KIAA0586	UBC	BIOGRID:607231;BIOGRID:619402;BIOGRID:628713;BIOGRID:732749;BIOGRID:814636	direct interaction;physical association	pubmed:17370265;pubmed:21139048;pubmed:21906983;pubmed:22505724;pubmed:23314748
KIAA0664	UBC	BIOGRID:618471;BIOGRID:625777;BIOGRID:627874;BIOGRID:729677;BIOGRID:847125;BIOGRID:850935;BIOGRID:945157	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22053931;pubmed:23000965;pubmed:24816145
KIAA0753	UBC	BIOGRID:1030642;BIOGRID:625116;BIOGRID:628380;BIOGRID:848041	physical association	pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:25147182
KIAA0754	UBC	BIOGRID:622116;BIOGRID:631264	physical association	pubmed:21139048;pubmed:21906983
KIAA0889	UBC	BIOGRID:1031425;BIOGRID:622897;BIOGRID:625918;BIOGRID:631988;BIOGRID:845553;BIOGRID:849217	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:25147182
KIAA0913	UBC	BIOGRID:1030709;BIOGRID:609104;BIOGRID:619283	physical association	pubmed:21139048;pubmed:21987572;pubmed:25147182
KIAA0922	UBC	BIOGRID:730917;BIOGRID:845740	physical association	pubmed:21963094;pubmed:22505724
KIAA0930	UBC	BIOGRID:625332;BIOGRID:945444	physical association	pubmed:21890473;pubmed:24816145
KIAA0930	YWHAB	BIOGRID:574569;BIOGRID:914066	physical association	pubmed:15324660;pubmed:24255178
KIAA1009	UBC	BIOGRID:618319;BIOGRID:848261	physical association	pubmed:17370265;pubmed:21139048
KIAA1033	UBC	BIOGRID:1031389;BIOGRID:614920;BIOGRID:618182;BIOGRID:627611;BIOGRID:939741;BIOGRID:943381	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094;pubmed:24654937;pubmed:24816145;pubmed:25147182
KIAA1109	UBC	BIOGRID:605963;BIOGRID:622161	physical association	pubmed:21139048;pubmed:22118674
KIAA1217	KRT15	BIOGRID:1039547;BIOGRID:121797	direct interaction	pubmed:16189514;pubmed:25416956
KIAA1244	PHB2	BIOGRID:721301;BIOGRID:721302;BIOGRID:985577;BIOGRID:985578	direct interaction;physical association	pubmed:19496786;pubmed:24051437
KIAA1267	KRT15	BIOGRID:1039578;BIOGRID:120189	direct interaction	pubmed:16189514;pubmed:25416956
KIAA1267	NECAB2	BIOGRID:1047669;BIOGRID:121293	direct interaction	pubmed:16189514;pubmed:25416956
KIAA1274	UBC	BIOGRID:620514;BIOGRID:629758;BIOGRID:945660	physical association	pubmed:21139048;pubmed:21906983;pubmed:24816145
KIAA1279	UBC	BIOGRID:622916;BIOGRID:624347;BIOGRID:944624	physical association	pubmed:21139048;pubmed:21890473;pubmed:24816145
KIAA1377	NUDT21	BIOGRID:271529;BIOGRID:601101	direct interaction	pubmed:16169070;pubmed:21900206
KIAA1377	YAE1D1	BIOGRID:270993;BIOGRID:601235	direct interaction	pubmed:16169070;pubmed:21900206
KIAA1429	UBC	BIOGRID:1031122;BIOGRID:621721;BIOGRID:626743;BIOGRID:630876;BIOGRID:848114	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:25147182
KIAA1430	UBC	BIOGRID:731870;BIOGRID:986253	physical association	pubmed:22505724;pubmed:25015289
KIAA1432	UBC	BIOGRID:609751;BIOGRID:630681	physical association	pubmed:21906983;pubmed:21987572
KIAA1468	UBC	BIOGRID:614552;BIOGRID:621151;BIOGRID:625752;BIOGRID:851614	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:23000965
KIAA1524	UBC	BIOGRID:1030749;BIOGRID:605867;BIOGRID:609752;BIOGRID:621078;BIOGRID:630308;BIOGRID:729295;BIOGRID:731876;BIOGRID:845491;BIOGRID:944344	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22053931;pubmed:22118674;pubmed:22505724;pubmed:24816145;pubmed:25147182
KIAA1530	USP7	BIOGRID:657586;BIOGRID:835895;BIOGRID:835908	physical association	pubmed:22466611;pubmed:22902626
KIAA1586	UBC	BIOGRID:1030438;BIOGRID:609753;BIOGRID:625630;BIOGRID:630244;BIOGRID:846582	physical association	pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:25147182
KIAA1598	UBC	BIOGRID:621009;BIOGRID:630240	physical association	pubmed:21139048;pubmed:21906983
KIAA1609	TRIP13	BIOGRID:120352;BIOGRID:838773	direct interaction	pubmed:16189514;pubmed:19060904
KIAA1715	UBC	BIOGRID:624200;BIOGRID:945934	physical association	pubmed:21890473;pubmed:24816145
KIAA1731	UBC	BIOGRID:609754;BIOGRID:627982;BIOGRID:732538;BIOGRID:845751	physical association	pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724
KIAA1797	UBC	BIOGRID:1031359;BIOGRID:621439;BIOGRID:626177;BIOGRID:630625;BIOGRID:847589;BIOGRID:851492	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:25147182
KIAA1826	SUMO2	BIOGRID:613815;BIOGRID:636635;BIOGRID:984976	physical association	pubmed:19471022;pubmed:21693764;pubmed:25027693
KIAA1967	MDM2	BIOGRID:937791;BIOGRID:951103	physical association	pubmed:24147044;pubmed:24583282
KIAA1967	MYC	BIOGRID:243516;BIOGRID:564176;BIOGRID:564492;BIOGRID:564495;BIOGRID:564497	direct interaction;physical association	pubmed:17314511;pubmed:17353931
KIAA1967	SUMO2	BIOGRID:636960;BIOGRID:643681;BIOGRID:984977	physical association	pubmed:19471022;pubmed:21252943;pubmed:25027693
KIAA1967	UBC	BIOGRID:609105;BIOGRID:620384;BIOGRID:624511;BIOGRID:629643;BIOGRID:731886;BIOGRID:846080;BIOGRID:849768;BIOGRID:943251	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724;pubmed:23000965;pubmed:24816145
KIDINS220	UBC	BIOGRID:1030690;BIOGRID:621971;BIOGRID:627002;BIOGRID:631134;BIOGRID:846246;BIOGRID:848400;BIOGRID:849962	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22053931;pubmed:23000965;pubmed:25147182
KIF11	UBC	BIOGRID:622051;BIOGRID:631213;BIOGRID:731289;BIOGRID:847619;BIOGRID:851531;BIOGRID:944028	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:23000965;pubmed:24816145
KIF13B	MARK2	BIOGRID:423888;BIOGRID:723633;BIOGRID:723634;BIOGRID:723635;BIOGRID:723636;BIOGRID:723637	direct interaction;physical association	pubmed:19615732;pubmed:20194617
KIF14	UBC	BIOGRID:1031457;BIOGRID:618658;BIOGRID:624527;BIOGRID:718751;BIOGRID:945702	physical association	pubmed:17203973;pubmed:21139048;pubmed:21890473;pubmed:24816145;pubmed:25147182
KIF15	UBC	BIOGRID:622185;BIOGRID:944475	physical association	pubmed:21139048;pubmed:24816145
KIF1A	UBC	BIOGRID:621390;BIOGRID:624738;BIOGRID:729405;BIOGRID:731617	physical association	pubmed:21139048;pubmed:21890473;pubmed:22053931;pubmed:22505724
KIF1B	UBC	BIOGRID:619232;BIOGRID:623037;BIOGRID:628561;BIOGRID:730889;BIOGRID:848566;BIOGRID:851217;BIOGRID:944858	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:22053931;pubmed:22505724;pubmed:23000965;pubmed:24816145
KIF1C	UBC	BIOGRID:1030801;BIOGRID:618736	physical association	pubmed:21139048;pubmed:25147182
KIF1C	YWHAE	BIOGRID:830740;BIOGRID:894427;BIOGRID:903877	direct interaction;physical association	pubmed:17979178;pubmed:19608861;pubmed:21988832
KIF20A	RAB6A	BIOGRID:1059653;BIOGRID:304375;BIOGRID:304376;BIOGRID:327846;BIOGRID:327847	direct interaction;physical association	pubmed:11071909;pubmed:16473624;pubmed:9438855
KIF20A	UBC	BIOGRID:1031351;BIOGRID:621230;BIOGRID:626172;BIOGRID:630452;BIOGRID:729658;BIOGRID:846972;BIOGRID:850780	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22053931;pubmed:23000965;pubmed:25147182
KIF20B	UBC	BIOGRID:1030817;BIOGRID:620232;BIOGRID:627053;BIOGRID:732719;BIOGRID:847519;BIOGRID:851408	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:22505724;pubmed:23000965;pubmed:25147182
KIF22	UBC	BIOGRID:622044;BIOGRID:625575;BIOGRID:631208;BIOGRID:673931;BIOGRID:731290;BIOGRID:848100	physical association	pubmed:19321445;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22505724
KIF23	UBC	BIOGRID:329916;BIOGRID:620606;BIOGRID:623589;BIOGRID:629840;BIOGRID:846172;BIOGRID:849878;BIOGRID:914943	physical association	pubmed:18329369;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:24128730
KIF23	YWHAB	BIOGRID:241835;BIOGRID:574553	physical association	pubmed:15324660;pubmed:17353931
KIF23	YWHAG	BIOGRID:243067;BIOGRID:574738	physical association	pubmed:15324660;pubmed:17353931
KIF23	YWHAQ	BIOGRID:242722;BIOGRID:907588	direct interaction;physical association	pubmed:15161933;pubmed:17353931
KIF2A	UBC	BIOGRID:605948;BIOGRID:622469;BIOGRID:631574;BIOGRID:850886;BIOGRID:943627	physical association	pubmed:21139048;pubmed:21906983;pubmed:22118674;pubmed:23000965;pubmed:24816145
KIF2C	SUMO2	BIOGRID:613730;BIOGRID:643683	physical association	pubmed:21252943;pubmed:21693764
KIF2C	UBC	BIOGRID:567913;BIOGRID:619425;BIOGRID:623422;BIOGRID:628731;BIOGRID:847786;BIOGRID:851709;BIOGRID:944993	physical association	pubmed:20596523;pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23000965;pubmed:24816145
KIF3A	UBC	BIOGRID:618983;BIOGRID:943830	physical association	pubmed:21139048;pubmed:24816145
KIF3B	UBC	BIOGRID:621017;BIOGRID:945799	physical association	pubmed:21139048;pubmed:24816145
KIF3C	UBC	BIOGRID:626134;BIOGRID:946124	physical association	pubmed:21890473;pubmed:24816145
KIF4A	SUMO2	BIOGRID:613667;BIOGRID:636627;BIOGRID:643684	physical association	pubmed:19471022;pubmed:21252943;pubmed:21693764
KIF4A	UBC	BIOGRID:622056;BIOGRID:623167;BIOGRID:849361;BIOGRID:943079	physical association	pubmed:21139048;pubmed:21890473;pubmed:23000965;pubmed:24816145
KIF4B	UBC	BIOGRID:845276;BIOGRID:945962	physical association	pubmed:21890473;pubmed:24816145
KIF5A	KLC1	BIOGRID:277657;BIOGRID:281967	physical association	pubmed:10491391;pubmed:9624122
KIF5A	UBC	BIOGRID:631570;BIOGRID:849921;BIOGRID:946235	physical association	pubmed:21906983;pubmed:23000965;pubmed:24816145
KIF5B	KLC1	BIOGRID:277182;BIOGRID:277652;BIOGRID:281968	direct interaction;physical association	pubmed:10491391;pubmed:12475239;pubmed:9624122
KIF5B	KLC2	BIOGRID:277654;BIOGRID:281970	physical association	pubmed:10491391;pubmed:9624122
KIF5B	UBC	BIOGRID:622462;BIOGRID:631569;BIOGRID:731288;BIOGRID:847359;BIOGRID:851209;BIOGRID:943508	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:23000965;pubmed:24816145
KIF5B	YWHAB	BIOGRID:241441;BIOGRID:574539	physical association	pubmed:15324660;pubmed:17353931
KIF5B	YWHAG	BIOGRID:241426;BIOGRID:574711	physical association	pubmed:15324660;pubmed:17353931
KIF5B	YWHAQ	BIOGRID:241471;BIOGRID:574826	physical association	pubmed:15324660;pubmed:17353931
KIF5B	YWHAZ	BIOGRID:241514;BIOGRID:574808	physical association	pubmed:15324660;pubmed:17353931
KIF5C	UBC	BIOGRID:1031177;BIOGRID:622100;BIOGRID:631249;BIOGRID:850682;BIOGRID:946113	physical association	pubmed:21139048;pubmed:21906983;pubmed:23000965;pubmed:24816145;pubmed:25147182
KIF7	UBC	BIOGRID:621871;BIOGRID:625178;BIOGRID:731283	physical association	pubmed:21139048;pubmed:21890473;pubmed:22505724
KIF9	PRMT6	BIOGRID:1047978;BIOGRID:862442;BIOGRID:918807	direct interaction;physical association	pubmed:23455924;pubmed:25416956
KIFAP3	UBC	BIOGRID:617926;BIOGRID:624916;BIOGRID:851512	physical association	pubmed:21139048;pubmed:21890473;pubmed:23000965
KIFC1	UBC	BIOGRID:1031433;BIOGRID:622048;BIOGRID:625576;BIOGRID:846223;BIOGRID:849938;BIOGRID:944185	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:23000965;pubmed:24816145;pubmed:25147182
KIN	UBC	BIOGRID:617884;BIOGRID:944109	physical association	pubmed:21139048;pubmed:24816145
KIR2DS2	TYROBP	BIOGRID:317734;BIOGRID:317735;BIOGRID:330721	physical association	pubmed:11169398;pubmed:9490415
KIRREL	NPHS1	BIOGRID:256175;BIOGRID:259623	physical association	pubmed:12660326;pubmed:12865409
KIRREL	TJP1	BIOGRID:256176;BIOGRID:268918;BIOGRID:268919;BIOGRID:268920	direct interaction;physical association	pubmed:12578837;pubmed:12865409
KIRREL	UBC	BIOGRID:1030473;BIOGRID:622101;BIOGRID:623048;BIOGRID:729267;BIOGRID:731685;BIOGRID:846082;BIOGRID:849770	physical association	pubmed:21139048;pubmed:21890473;pubmed:21963094;pubmed:22053931;pubmed:22505724;pubmed:23000965;pubmed:25147182
KIT	KITLG	BIOGRID:286866;BIOGRID:301941	direct interaction;physical association	pubmed:1375232;pubmed:7680037
KIT	LYN	BIOGRID:282751;BIOGRID:301928;BIOGRID:301929	direct interaction;physical association	pubmed:11825908;pubmed:9341198
KIT	MATK	BIOGRID:301713;BIOGRID:301927	direct interaction	pubmed:7536744;pubmed:9038210
KIT	PIK3R1	BIOGRID:277263;BIOGRID:277638;BIOGRID:286727;BIOGRID:677612;BIOGRID:677615;BIOGRID:722243	direct interaction;physical association	pubmed:10022833;pubmed:11071635;pubmed:17452978;pubmed:7509796;pubmed:9233773
KIT	PLCG1	BIOGRID:277639;BIOGRID:301712	direct interaction	pubmed:11071635;pubmed:7536744
KIT	PTPN11	BIOGRID:286242;BIOGRID:301923;BIOGRID:679426	direct interaction;physical association	pubmed:12444928;pubmed:7523381;pubmed:9528781
KIT	PTPN6	BIOGRID:301920;BIOGRID:301921;BIOGRID:301922;BIOGRID:301939;BIOGRID:301940	direct interaction;physical association	pubmed:7684496;pubmed:9528781
KIT	TEC	BIOGRID:277622;BIOGRID:280617;BIOGRID:280618;BIOGRID:280619	direct interaction;physical association	pubmed:11071635;pubmed:7526158
KIT	UBC	BIOGRID:1060027;BIOGRID:477944;BIOGRID:555126;BIOGRID:564134	physical association	pubmed:15315962;pubmed:20595514;pubmed:21030588;pubmed:7506076
KITLG	UBC	BIOGRID:631463;BIOGRID:847649	physical association	pubmed:21906983;pubmed:21963094
KLC1	UBC	BIOGRID:622054;BIOGRID:631214;BIOGRID:845016;BIOGRID:943392	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:24816145
KLC1	YWHAB	BIOGRID:241760;BIOGRID:574540	physical association	pubmed:15324660;pubmed:17353931
KLC2	UBC	BIOGRID:625368;BIOGRID:946057	physical association	pubmed:21890473;pubmed:24816145
KLC4	YWHAZ	BIOGRID:242987;BIOGRID:574822	physical association	pubmed:15324660;pubmed:17353931
KLF10	SIN3A	BIOGRID:1054298;BIOGRID:262296	direct interaction;physical association	pubmed:11438660;pubmed:24944246
KLF10	SP1	BIOGRID:286349;BIOGRID:513896	direct interaction	pubmed:10976766;pubmed:15087465
KLF10	UBC	BIOGRID:614914;BIOGRID:630706;BIOGRID:683996	physical association	pubmed:18278048;pubmed:21906983;pubmed:21963094
KLF11	SIN3A	BIOGRID:262291;BIOGRID:298083;BIOGRID:671454;BIOGRID:816374	direct interaction;physical association	pubmed:11438660;pubmed:12006497;pubmed:15300592;pubmed:22318730
KLF13	UBC	BIOGRID:628185;BIOGRID:731529;BIOGRID:846794;BIOGRID:985969	physical association	pubmed:21906983;pubmed:21963094;pubmed:22505724;pubmed:25015289
KLF15	PRKAB2	BIOGRID:1041098;BIOGRID:951572	direct interaction	pubmed:24722188;pubmed:25416956
KLF16	SIN3A	BIOGRID:262293;BIOGRID:304191;BIOGRID:304192;BIOGRID:614459	direct interaction;physical association	pubmed:11438660;pubmed:12036432;pubmed:22203677
KLF2	UBC	BIOGRID:480750;BIOGRID:544582;BIOGRID:858320	physical association	pubmed:15003522;pubmed:21382345;pubmed:23507969
KLF2	WWP1	BIOGRID:300979;BIOGRID:300980;BIOGRID:480749	direct interaction;physical association	pubmed:11375995;pubmed:15003522
KLF4	SP1	BIOGRID:283006;BIOGRID:672255;BIOGRID:672258	direct interaction;physical association	pubmed:22282354;pubmed:9651398
KLF4	UBC	BIOGRID:327709;BIOGRID:719888	physical association	pubmed:18655026;pubmed:22284679
KLF5	SMAD2	BIOGRID:724971;BIOGRID:856688	physical association	pubmed:18729074;pubmed:19419955
KLF5	TRIM25	BIOGRID:557353;BIOGRID:557354;BIOGRID:657740	direct interaction;physical association	pubmed:21542805;pubmed:22452784
KLF5	UBC	BIOGRID:463399;BIOGRID:470371;BIOGRID:521696;BIOGRID:560329;BIOGRID:590870;BIOGRID:592225;BIOGRID:592226;BIOGRID:594729;BIOGRID:611383;BIOGRID:630097;BIOGRID:939037	direct interaction;physical association	pubmed:15735697;pubmed:16223724;pubmed:20388706;pubmed:20484041;pubmed:20694673;pubmed:21487105;pubmed:21906983;pubmed:21953463;pubmed:22045023;pubmed:24398687
KLF5	WWP1	BIOGRID:463397;BIOGRID:463398;BIOGRID:463400;BIOGRID:560332;BIOGRID:594728;BIOGRID:611381	direct interaction;physical association	pubmed:16223724;pubmed:20694673;pubmed:21487105;pubmed:22045023
KLF6	SP1	BIOGRID:314502;BIOGRID:314503;BIOGRID:616695	direct interaction;physical association	pubmed:12433697;pubmed:22169644
KLF6	UBC	BIOGRID:1030472;BIOGRID:427851;BIOGRID:627486	physical association	pubmed:17113081;pubmed:21906983;pubmed:25147182
KLHDC2	UBC	BIOGRID:622632;BIOGRID:623941	physical association	pubmed:21139048;pubmed:21890473
KLHDC4	UBC	BIOGRID:631452;BIOGRID:846194;BIOGRID:944198	physical association	pubmed:21906983;pubmed:21963094;pubmed:24816145
KLHDC5	UBC	BIOGRID:621565;BIOGRID:626396;BIOGRID:630742;BIOGRID:847470	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094
KLHDC5	UBQLN1	BIOGRID:1047172;BIOGRID:121568	direct interaction	pubmed:16189514;pubmed:25416956
KLHL11	UBC	BIOGRID:614647;BIOGRID:622541;BIOGRID:623633;BIOGRID:631636;BIOGRID:729194;BIOGRID:731670;BIOGRID:814579;BIOGRID:849427	direct interaction;physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:22053931;pubmed:22505724;pubmed:23000965;pubmed:23314748
KLHL12	KLHL12	BIOGRID:1048606;BIOGRID:119561	direct interaction	pubmed:16189514;pubmed:25416956
KLHL12	KLHL2	BIOGRID:120483;BIOGRID:697012	direct interaction;physical association	pubmed:15383316;pubmed:16189514
KLHL12	PRR13	BIOGRID:1047540;BIOGRID:119537	direct interaction	pubmed:16189514;pubmed:25416956
KLHL12	SNX20	BIOGRID:1048609;BIOGRID:120044	direct interaction	pubmed:16189514;pubmed:25416956
KLHL12	UBC	BIOGRID:330071;BIOGRID:561093;BIOGRID:617962;BIOGRID:627387;BIOGRID:847614	physical association	pubmed:16196087;pubmed:18303015;pubmed:21139048;pubmed:21906983;pubmed:21963094
KLHL13	KLHL22	BIOGRID:1023174;BIOGRID:424332	physical association	pubmed:19615732;pubmed:19995937
KLHL13	KLHL9	BIOGRID:1023173;BIOGRID:1023177;BIOGRID:424148;BIOGRID:684282;BIOGRID:684289	physical association	pubmed:17543862;pubmed:19615732;pubmed:19995937
KLHL13	UBC	BIOGRID:614754;BIOGRID:626596;BIOGRID:628490;BIOGRID:814501	direct interaction;physical association	pubmed:21890473;pubmed:21906983;pubmed:21963094;pubmed:23314748
KLHL15	UBC	BIOGRID:629008;BIOGRID:848057	physical association	pubmed:21906983;pubmed:21963094
KLHL2	KLHL2	BIOGRID:1046069;BIOGRID:718221	direct interaction	pubmed:10397770;pubmed:25416956
KLHL2	WNK1	BIOGRID:882904;BIOGRID:938148	direct interaction;physical association	pubmed:23838290;pubmed:24641320
KLHL2	WNK4	BIOGRID:882910;BIOGRID:882912;BIOGRID:938149	direct interaction;physical association	pubmed:23838290;pubmed:24641320
KLHL20	PML	BIOGRID:546904;BIOGRID:825905;BIOGRID:825913	physical association	pubmed:20389280;pubmed:21840486
KLHL20	UBC	BIOGRID:624250;BIOGRID:629359	physical association	pubmed:21890473;pubmed:21906983
KLHL21	UBC	BIOGRID:1031151;BIOGRID:609755;BIOGRID:628073;BIOGRID:729168;BIOGRID:732774;BIOGRID:846502	physical association	pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22053931;pubmed:22505724;pubmed:25147182
KLHL22	PLK1	BIOGRID:833189;BIOGRID:833190;BIOGRID:904291;BIOGRID:904292	direct interaction;physical association	pubmed:23455478;pubmed:24067371
KLHL22	UBC	BIOGRID:1031253;BIOGRID:619159;BIOGRID:626660;BIOGRID:628498	physical association	pubmed:21139048;pubmed:21890473;pubmed:21906983;pubmed:25147182
KLHL23	UBC	BIOGRID:730696;BIOGRID:845000;BIOGRID:849017	physical association	pubmed:21890473;pubmed:21906983;pubmed:22505724
KLHL24	UBC	BIOGRID:1030836;BIOGRID:626869;BIOGRID:846208;BIOGRID:849926	physical association	pubmed:21890473;pubmed:21963094;pubmed:23000965;pubmed:25147182
KLHL25	UBC	BIOGRID:851736;BIOGRID:945446	physical association	pubmed:23000965;pubmed:24816145
KLHL26	UBC	BIOGRID:609756;BIOGRID:622001;BIOGRID:631170;BIOGRID:731695;BIOGRID:846000	physical association	pubmed:21139048;pubmed:21906983;pubmed:21963094;pubmed:21987572;pubmed:22505724
KLHL3	KLHL3	BIOGRID:1046884;BIOGRID:817031;BIOGRID:817037	direct interaction;physical association	pubmed:23387299;pubmed:25416956
KLHL3	WNK1	BIOGRID:817027;BIOGRID:817033;BIOGRID:817038;BIOGRID:859043;BIOGRID:882905	physical association	pubmed:23387299;pubmed:23576762;pubmed:23838290
KLHL3	WNK2	BIOGRID:817028;BIOGRID:817034;BIOGRID:882907	physical association	pubmed:23387299;pubmed:23838290
KLHL3	WNK3	BIOGRID:817029;BIOGRID:817035;BIOGRID:882909;BIOGRID:938147	direct interaction;physical association	pubmed:23387299;pubmed:23838290;pubmed:24641320
