SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
71	13	23	37	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,NRCAM,SMAD9
72	13	23	37	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,NRCAM,SMAD9
73	13	23	37	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,NRCAM,SMAD9
74	13	23	37	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,NRCAM,SMAD9
75	13	23	37	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,NRCAM,SMAD9
76	13	24	36	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,NRCAM,ATN1,SMAD9
77	13	25	35	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,NRCAM,ATN1,SMAD9
78	13	26	35	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,NRCAM,AR,ATN1,SMAD9
79	13	26	35	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,NRCAM,AR,ATN1,SMAD9
80	13	27	34	TP53,PMS2,DDB2,APC,PIK3CA,EGFR,CTNNB1,NOTCH1,PIK3R1,RAC1,ERBB2,HRAS,SMAD4,SETD7,NLRC4,MACF1,NRXN1,MYO16,SIPA1L1,VAV2,TTN,SYNE1,ATXN1,TNIK,VCAN,SCN3B,CX3CL1,ATF7IP,DISC1,PDZD2,RELN,DST,STEAP3,CACNA1A,MAGI3,ERBB4,NRCAM,AR,ATN1,SMAD9
