#VALUE = Log10 normalized expression of ORF																																
ORF	ORF_BNAME	P	A384	A744	A1224	A1824	A2496	B384	B744	B1224	B1824	B2496	C384	C744	C1224	C1824	C2496	D384	D744	D1224	D1824	D2496	E384	E744	E1224	E1824	E2496	F384	F744	F1224	F1824	F2496
ffh	b2610	2.662944	2.789271	2.792329	2.827494	2.828259	2.907189	2.804178	2.798827	2.861895	2.919038	2.854441	2.744932	2.795005	2.836668	2.859984	2.982488	2.786213	2.808383	2.866864	2.873171	2.850428	2.77876	2.77876	2.799209	2.810485	2.810485	2.788316	2.778378	2.780862	2.814498	2.835712
ypjD	b2611	2.223953	2.14961	2.141392	2.153049	2.143111	2.276319	2.189744	2.051759	2.178086	2.196242	2.205033	2.148463	2.18745	2.167956	2.294092	2.301928	2.19433	2.172734	2.261985	2.192037	2.257781	2.119222	2.196242	2.191081	2.188788	2.211149	2.093422	2.094759	2.225291	2.194521	2.269247
grpE	b2614	2.967199	3.149905	3.241831	3.205137	3.115122	2.922478	3.071166	3.30165	3.119135	3.158314	3.074032	3.122576	3.163283	3.124104	3.104228	3.120664	3.216031	3.248711	3.202844	3.101744	3.053201	3.161181	3.227115	3.154301	3.182777	3.133278	3.055303	3.181057	3.15927	3.202271	3.142643
yfjB	yfjB	2.459407	2.29543	2.3262	2.17369	2.221469	2.218411	2.31263	2.319128	2.247078	2.307279	2.302501	2.343973	2.34856	2.377419	2.319319	2.28511	2.3348	2.287595	2.295239	2.271541	2.325053	2.3262	2.334609	2.367863	2.271541	2.350853	2.301928	2.335564	2.333271	2.237331	2.30059
smpA	smpA	2.572356	2.789462	2.823098	2.90222	2.841828	2.799209	2.751431	2.716265	2.849281	2.843166	2.875655	2.710914	2.774937	2.78564	2.801885	2.837814	2.820614	2.798254	2.732319	2.836859	2.783538	2.760604	2.850428	2.758693	2.820614	2.817174	2.767293	2.689891	2.765573	2.877566	2.829214
yfjG	yfjG	2.271541	2.271541	2.391179	2.344547	2.274981	2.237522	2.313586	2.427108	2.238096	2.230833	2.33824	2.270012	2.319319	2.465523	2.407423	2.366143	2.270012	2.381623	2.431313	2.320848	2.469918	2.267145	2.253194	2.367863	2.296768	2.422713	2.162987	2.319702	2.394428	2.3262	2.4445
smpB	b2620	2.943883	2.961083	2.949425	2.97083	2.955923	3.023769	2.924772	2.870877	2.954395	2.941972	3.01536	2.957261	2.961083	2.942736	3.083779	3.121047	2.921905	2.89018	2.907189	2.989751	2.962612	2.923243	2.976182	2.943883	3.000835	2.981724	2.915789	2.863424	2.916745	2.99816	2.914643
ssrA	b2621	4.553453	4.553453	4.430948	4.553453	4.553453	4.496501	4.430948	4.46898	4.553453	4.430948	4.451971	4.496501	4.430948	4.313221	4.32488	4.553453	4.553453	4.553453	4.553453	4.553453	4.405912	4.553453	4.553453	4.451971	4.553453	4.244994	4.553453	4.553453	4.46898	4.553453	4.373805
nrdH	b2673	3.326686	3.108051	3.12506	3.439253	3.300313	3.26897	3.265721	3.366247	3.407337	3.45244	3.565771	3.198448	3.222147	3.209533	3.234187	3.15927	3.234187	3.164047	3.204373	3.177425	3.053201	3.162328	3.197493	3.271836	3.253107	3.480151	3.272983	3.15239	3.175514	3.480151	3.423964
nrdI	b2674	3.000835	2.931843	2.922478	3.214502	3.050334	3.079192	3.041925	3.168634	3.274703	3.286934	3.323819	3.022431	3.028929	2.978475	3.038294	2.914643	3.054539	2.959172	3.01536	3.057979	2.857881	2.955923	2.997204	3.004658	3.016507	3.264574	3.029311	3.033325	2.990706	3.227115	3.207813
nrdE	b2675	3.023769	2.884064	2.865717	3.192333	3.028929	3.060654	2.994338	3.223866	3.223866	3.265721	3.290375	2.986502	2.949425	3.010773	3.07021	2.941972	2.90222	2.930696	3.010773	3.04441	2.89018	2.845841	2.890944	2.984591	3.01708	3.231893	3.063903	3.066961	2.97083	3.202844	3.176661
nrdF	b2676	2.635806	2.521519	2.580765	2.950572	2.783538	2.61077	2.665237	2.941208	2.930696	3.004658	3.047467	2.652815	2.668678	2.730217	2.761559	2.656446	2.566049	2.636379	2.716265	2.750284	2.648993	2.517697	2.573884	2.67766	2.738052	2.971404	2.757928	2.824627	2.705372	2.94847	2.929741
proV	b2677	2.624721	2.639819	2.661033	2.820232	2.774937	2.474696	2.57656	2.826921	2.938723	2.538337	2.517697	2.562036	2.643068	2.433606	2.729452	2.662944	2.756399	2.668678	2.280141	2.310146	2.232171	2.631028	2.694669	2.597583	2.344929	2.519035	2.649566	2.631601	2.515977	2.889415	2.893811
proW	b2678	2.552098	2.512537	2.564902	2.660842	2.592041	2.310146	2.463994	2.667722	2.72563	2.322377	2.400352	2.482914	2.483487	2.348751	2.61421	2.526106	2.539293	2.512537	2.129351	2.216882	2.211913	2.493043	2.574649	2.458451	2.134702	2.377801	2.570062	2.478518	2.364423	2.709767	2.836668
proX	b2679	2.553053	2.589174	2.673073	2.890944	2.790991	2.517697	2.61077	2.827494	2.9091	2.499541	2.527635	2.5628	2.660269	2.489412	2.730026	2.59376	2.666958	2.684731	2.316835	2.321613	2.279185	2.58344	2.645553	2.612681	2.247269	2.561653	2.666002	2.682056	2.561653	2.922478	2.930696
ygaZ	b2682	2.414113	2.310146	2.21478	2.102022	2.189744	2.316071	2.352574	2.094759	2.065137	2.18745	2.186112	2.367863	2.348751	2.293901	2.413157	2.402646	2.335373	2.187641	2.272114	2.259501	2.240007	2.301737	2.301737	2.319128	2.351618	2.194904	2.279568	2.239051	2.305942	2.110813	2.107946
ygaH	b2683	2.650331	2.477563	2.416597	2.363085	2.426726	2.517697	2.537382	2.319319	2.426726	2.489985	2.528399	2.577133	2.573884	2.540822	2.69314	2.700785	2.50795	2.455202	2.534706	2.500305	2.527635	2.50279	2.518461	2.553435	2.595098	2.458833	2.493043	2.450042	2.516359	2.409908	2.380667
mprA	b2684	2.695434	2.676322	2.687789	2.661033	2.671926	2.668487	2.717985	2.550569	2.67766	2.639819	2.736523	2.727541	2.678042	2.71875	2.803222	2.893811	2.698109	2.643068	2.733848	2.658166	2.730217	2.688936	2.710914	2.670971	2.714354	2.735377	2.650331	2.682629	2.696389	2.635232	2.650713
luxS	b2687	3.001409	2.951145	2.974462	2.891135	2.909673	2.836668	2.971404	2.893811	2.909673	2.930696	2.959172	2.951145	2.950572	2.943883	2.943883	3.022431	3.031987	2.94847	2.929167	2.733848	2.723527	2.965861	2.921905	2.89534	2.889415	2.83877	2.976755	2.976755	2.954395	2.89018	2.885975
sraD	sraD	2.029972	2.071635	2.132027	2.102978	2.233318	2.344547	2.04507	2.18229	2.359071	2.516359	2.240198	2.140436	2.202166	2.099346	2.205415	2.24918	2.203886	2.223953	2.272496	2.279568	2.123044	2.335564	2.274216	2.100302	2.27823	2.087688	2.222806	2.403792	2.154578	2.255296	2.133365
gshA	b2688	2.721425	2.734995	2.695243	2.714927	2.734612	2.733848	2.736523	2.697154	2.717985	2.739772	2.709385	2.777231	2.757928	2.758693	2.875464	2.923243	2.709385	2.694096	2.741493	2.759075	2.736523	2.702887	2.695243	2.683967	2.728114	2.695243	2.76844	2.788316	2.697154	2.700785	2.695243
yqaA	b2689	2.327155	2.394428	2.406468	2.411437	2.427108	2.503554	2.433606	2.427682	2.392134	2.412201	2.447366	2.421566	2.373214	2.427682	2.60389	2.649566	2.368627	2.374361	2.469154	2.548657	2.506803	2.360027	2.348751	2.424433	2.475652	2.378183	2.383916	2.328875	2.453864	2.420228	2.489412
yqaB	b2690	2.212486	2.236185	2.23026	2.337667	2.364231	2.457114	2.293901	2.319702	2.287021	2.299061	2.352956	2.156681	2.154961	2.24402	2.356396	2.526297	2.311101	2.254149	2.35372	2.405895	2.289697	2.234464	2.253576	2.292755	2.309764	2.241153	2.164134	2.132791	2.287021	2.283008	2.246123
argQ	b2691	2.429593	2.735377	2.688936	2.951145	2.759266	2.89534	2.71875	2.871259	2.931269	2.890944	2.808383	2.711296	2.687789	2.661033	3.039058	2.760604	2.796725	2.841254	2.929741	3.059125	2.951145	2.789462	2.72047	2.786213	2.845841	2.760604	2.728114	2.79768	2.809147	2.955159	2.817556
argZ	b2692	2.421566	2.757355	2.608476	2.839534	2.722572	2.836859	2.665811	2.808383	2.963186	2.834756	2.799209	2.734995	2.748755	2.618223	2.930696	2.761559	2.750284	2.757355	2.84393	3.08741	2.916745	2.6897	2.743786	2.745697	2.876802	2.745697	2.6553	2.84393	2.781435	2.90222	2.755444
argY	b2693	2.493616	2.76844	2.738052	3.005613	2.799209	2.971404	2.777804	2.919803	2.955159	2.911776	2.86285	2.745697	2.749328	2.707856	3.039632	2.826921	2.843166	2.890944	2.990706	3.095246	2.995293	2.789653	2.751431	2.85253	2.897251	2.823098	2.769204	2.82501	2.863424	2.999306	2.876802
argV	b2694	2.50795	2.769204	2.706901	2.910629	2.783729	2.89706	2.759075	2.86457	3.029311	2.891135	2.835712	2.765764	2.76844	2.719514	2.999306	2.788316	2.742448	2.834183	2.917509	3.122576	3.003702	2.703652	2.759075	2.817174	2.931269	2.854441	2.716839	2.835712	2.870877	2.974462	2.854441
serV	b2695	3.069446	3.369496	3.326686	3.369496	3.354016	3.325157	3.290375	3.274703	3.462569	3.398737	3.340255	3.321717	3.384021	3.225969	3.210297	3.21756	3.354016	3.410586	3.338344	3.506716	3.347518	3.333184	3.343504	3.313308	3.30165	3.265721	3.197493	3.300313	3.416702	3.462569	3.283112
csrA	b2696	3.254636	3.276805	3.207813	3.216031	3.204373	3.181057	3.204373	3.135954	3.225969	3.212973	3.246418	3.270499	3.297637	3.234187	3.396443	3.386887	3.235333	3.099068	3.103273	3.074032	3.096584	3.245271	3.205137	3.107095	3.183923	3.179146	3.326686	3.23648	3.135954	3.168634	3.227115
alaS	b2697	3.186026	3.354016	3.352105	3.337198	3.360705	3.326686	3.303944	3.450529	3.319424	3.337198	3.262089	3.343504	3.408866	3.40103	3.427022	3.352105	3.314646	3.348282	3.333184	3.303944	3.311779	3.340255	3.367012	3.333184	3.363763	3.356883	3.295917	3.329362	3.337198	3.335478	3.338344
recA	b2699	2.777804	2.916745	2.959555	2.995293	2.941208	2.86457	2.869157	3.02568	2.992617	3.010773	3.001409	2.888077	2.900691	2.929741	2.945412	2.947705	2.887313	2.959555	2.949425	2.9091	2.917509	2.882153	2.910629	2.931843	2.920949	3.001409	2.906234	2.938723	2.892473	2.923243	2.939296
mltB	b2701	2.309764	2.351809	2.407423	2.403028	2.344547	2.407997	2.376845	2.446984	2.38277	2.395192	2.392134	2.363658	2.373405	2.433989	2.319702	2.313586	2.368818	2.473167	2.455202	2.446984	2.396912	2.3606	2.380094	2.414304	2.351809	2.351618	2.33824	2.29543	2.421566	2.387547	2.420993
rpoS	b2741	3.914556	3.726116	3.651391	3.562522	3.553158	3.40103	3.805238	3.536148	3.612021	3.605905	3.538824	3.799887	3.726116	3.648142	3.648142	3.488178	3.693053	3.676809	3.391092	3.352105	3.369496	3.776189	3.648142	3.618519	3.597878	3.536148	3.870982	3.738539	3.648142	3.573033	3.605905
nlpD	b2742	3.374656	3.355162	3.273556	3.223866	3.228262	3.174368	3.373127	3.2382	3.340255	3.305855	3.23648	3.410586	3.393003	3.314646	3.358793	3.228262	3.323819	3.256356	3.230556	3.235333	3.225969	3.342167	3.285979	3.314646	3.265721	3.274703	3.374656	3.317322	3.290375	3.243169	3.260561
pcm	b2743	2.407423	2.478136	2.428064	2.430548	2.452144	2.50451	2.464567	2.435709	2.497247	2.549804	2.44106	2.51139	2.500305	2.465905	2.677087	2.563564	2.414113	2.410864	2.438766	2.482341	2.471256	2.493616	2.43246	2.438193	2.439531	2.465523	2.467434	2.395766	2.48062	2.491323	2.429019
surE	b2744	2.335373	2.360027	2.355058	2.301737	2.35372	2.438766	2.417553	2.500305	2.360027	2.351618	2.318555	2.368627	2.374169	2.38277	2.474696	2.497247	2.34684	2.366716	2.439531	2.393281	2.438193	2.336329	2.321613	2.380667	2.297533	2.351809	2.269247	2.302119	2.446984	2.301737	2.380859
truD	b2745	2.202739	2.345311	2.343973	2.344929	2.344929	2.387547	2.399014	2.417553	2.320848	2.351809	2.270012	2.330213	2.319702	2.400734	2.524195	2.453864	2.347605	2.394428	2.392134	2.380667	2.408379	2.346267	2.311101	2.34684	2.352574	2.352574	2.280141	2.26963	2.403792	2.326582	2.356396
ispF	b2746	2.107946	2.202739	2.18745	2.276319	2.275936	2.295239	2.273452	2.249563	2.139863	2.219367	2.187259	2.202166	2.218411	2.244976	2.364996	2.34684	2.205033	2.235802	2.217264	2.280141	2.311675	2.176366	2.187641	2.149801	2.196624	2.228922	2.171396	2.132982	2.255487	2.222233	2.237331
ispD	b2747	2.069532	2.169103	2.132791	2.165281	2.201593	2.336329	2.191081	2.276319	2.156681	2.109858	2.18745	2.112533	2.110813	2.194904	2.294666	2.367098	2.167956	2.126293	2.193566	2.22682	2.280141	2.186112	2.109858	2.125338	2.104888	2.129351	2.085777	2.043923	2.206753	2.140436	2.170059
ftsB	b2748	2.28511	2.216882	2.304795	2.369009	2.353911	2.482341	2.345311	2.222806	2.202548	2.242109	2.338622	2.149036	2.263896	2.368818	2.515594	2.52687	2.270776	2.33824	2.411437	2.422713	2.498394	2.267527	2.301928	2.338622	2.336711	2.352956	2.177703	2.061123	2.422522	2.292946	2.381623
ygbE	b2749	2.536617	2.496674	2.335564	2.371112	2.328875	2.336711	2.417935	2.393281	2.44278	2.438193	2.418699	2.533559	2.407423	2.419464	2.631601	2.476798	2.464567	2.375316	2.48062	2.310146	2.361938	2.388312	2.357734	2.415068	2.420993	2.465905	2.407806	2.43246	2.49419	2.454247	2.48062
cysC	b2750	2.945412	2.995293	3.053201	3.176661	3.143789	2.964906	2.984591	3.039058	3.128118	3.124104	3.105948	3.023769	2.942736	3.065241	3.128118	3.122576	2.987648	3.047467	3.117798	3.103273	3.066197	2.967199	2.929167	3.074797	3.104228	3.07881	3.086455	3.103273	3.104228	3.138247	3.143789
cysN	b2751	3.522961	3.553158	3.584309	3.634381	3.622723	3.629603	3.54666	3.601892	3.577047	3.609154	3.553158	3.573033	3.510348	3.601892	3.565771	3.59463	3.560038	3.560038	3.629603	3.581443	3.49869	3.54666	3.529459	3.638777	3.641261	3.597878	3.538824	3.626928	3.641261	3.626928	3.654831
cysD	b2752	3.651391	3.641261	3.734526	3.716561	3.759944	3.764913	3.66152	3.644319	3.597878	3.618519	3.654831	3.664195	3.651391	3.752299	3.730512	3.69764	3.609154	3.657888	3.716561	3.612021	3.657888	3.550291	3.584309	3.734526	3.700698	3.730512	3.700698	3.654831	3.693053	3.693053	3.742743
cysH	b2762	3.283112	3.333184	3.354016	3.177425	3.183923	3.288081	3.267632	3.210297	3.138247	3.246418	3.126398	3.369496	3.288081	3.386887	3.348282	3.326686	3.355162	3.278717	3.321717	3.212973	3.194817	3.284832	3.21756	3.315602	3.337198	3.164047	3.319424	3.343504	3.325157	3.243933	3.228262
cysI	b2763	3.380581	3.485312	3.506716	3.343504	3.408866	3.570358	3.435813	3.428933	3.303944	3.354016	3.333184	3.480151	3.428933	3.550291	3.51589	3.556597	3.504997	3.475183	3.54666	3.483401	3.45244	3.4662	3.410586	3.510348	3.54666	3.371598	3.488178	3.485312	3.493912	3.420906	3.424919
cysJ	b2764	3.396443	3.435813	3.513597	3.338344	3.40103	3.531753	3.450529	3.384021	3.265721	3.348282	3.342167	3.450529	3.394914	3.553158	3.49869	3.538824	3.4662	3.457218	3.570358	3.501365	3.488178	3.410586	3.423964	3.54666	3.550291	3.396443	3.469258	3.428933	3.49869	3.407337	3.4662
ygcF	ygcF	2.088453	2.083102	2.174072	2.131454	2.167956	2.188215	2.140436	2.233318	2.157254	2.049656	2.101257	2.069532	2.072781	2.139863	2.174072	2.340151	2.136996	2.179806	2.235802	2.32964	2.362894	2.14961	2.087688	2.162223	2.111387	2.159165	2.054434	2.124	2.137951	2.174837	2.170441
eno	b2779	3.66152	3.542837	3.565771	3.565771	3.59463	3.757077	3.522961	3.51589	3.444986	3.454542	3.501365	3.520095	3.531753	3.536148	3.488178	3.764913	3.520095	3.542837	3.485312	3.513597	3.591189	3.531753	3.54666	3.538824	3.493912	3.553158	3.577047	3.570358	3.510348	3.493912	3.609154
pyrG	b2780	2.928212	3.041925	3.060654	3.024725	3.062374	3.145509	3.043836	3.026827	2.903367	2.942736	2.964906	2.986884	2.986884	3.01708	3.071166	3.247947	3.009818	2.992617	3.005613	2.990706	3.038294	3.023769	2.99816	2.964906	2.931843	3.002747	2.94675	2.921905	2.99816	2.964906	3.030267
mazG	b2781	2.300017	2.410864	2.364231	2.328875	2.336711	2.287021	2.409143	2.393854	2.297533	2.3348	2.287595	2.253576	2.219367	2.22682	2.320275	2.260265	2.357351	2.38277	2.412201	2.287595	2.343973	2.311675	2.311675	2.371494	2.298488	2.302884	2.246123	2.287021	2.335373	2.283772	2.308999
chpA	chpA	2.526297	2.497247	2.482914	2.441633	2.502408	2.550378	2.538337	2.56968	2.583822	2.610196	2.500496	2.377801	2.364996	2.369009	2.515977	2.440678	2.484825	2.48903	2.518461	2.555729	2.477563	2.464567	2.407806	2.458833	2.476225	2.43246	2.468198	2.450998	2.454056	2.44106	2.38277
chpR	chpR	2.804178	2.73595	2.707474	2.56968	2.637526	2.655108	2.804943	2.799209	2.71875	2.686642	2.61249	2.61249	2.582676	2.541777	2.579045	2.571018	2.667722	2.716839	2.693331	2.61249	2.643068	2.618988	2.619943	2.710914	2.571018	2.666958	2.551524	2.591276	2.65186	2.546173	2.606756
relA	b2784	2.460553	2.374361	2.344356	2.33824	2.32964	2.423095	2.390605	2.428064	2.298488	2.324097	2.288359	2.157254	2.238096	2.086733	2.465523	2.497439	2.395766	2.367098	2.419464	2.393854	2.344356	2.336329	2.367098	2.393281	2.364231	2.336329	2.290843	2.3434	2.34684	2.346267	2.357351
rumA	rumA	2.108711	2.149801	2.199491	2.231789	2.221851	2.310146	2.179041	2.198917	2.159165	2.162987	2.197388	2.17713	2.176366	2.195286	2.312248	2.293901	2.151712	2.148463	2.19433	2.241153	2.232744	2.17713	2.160121	2.162987	2.189744	2.179041	2.156299	2.111004	2.172734	2.229878	2.179806
yqcC	b2792	2.089408	2.072781	2.164325	2.232171	2.262941	2.377801	2.154578	2.132982	2.178277	2.178086	2.241153	2.062843	2.030927	2.246123	2.329831	2.347605	2.015447	2.180761	2.254149	2.336329	2.409143	2.110813	2.066092	2.204459	2.178277	2.303648	2.111387	2.062461	2.247078	2.210193	2.300972
csrB	b4408	4.301181	4.168165	4.205624	3.98049	3.951823	3.815749	4.155743	4.115417	4.280541	4.155743	3.951823	4.280541	4.19473	4.226264	4.205624	4.115417	4.231807	4.217473	3.959086	3.742743	3.66152	4.155743	4.168165	4.140454	4.161285	3.894107	4.226264	4.262003	4.177148	4.076048	3.909014
syd	b2793	2.043923	2.117693	2.271541	2.2509	2.222233	2.202739	2.170823	2.26963	2.164325	2.267145	2.310146	2.177703	2.264852	2.311675	2.270967	2.34856	2.043923	2.206753	2.242109	2.227776	2.3262	2.091893	2.165281	2.181334	2.204459	2.304795	2.031118	2.062843	2.256252	2.274216	2.290843
yqcD	yqcD	2.314924	2.440104	2.473358	2.559169	2.512537	2.505466	2.409908	2.483487	2.443544	2.446984	2.529164	2.422522	2.508906	2.489985	2.475652	2.650331	2.433989	2.52343	2.524386	2.55592	2.569298	2.435709	2.550378	2.502025	2.506421	2.519799	2.407997	2.479092	2.484825	2.51311	2.532604
ygdH	b2795	2.804943	2.725248	2.784875	2.730026	2.646699	2.465905	2.709385	2.750666	2.566049	2.583822	2.709576	2.689891	2.830361	2.786213	2.721234	2.6811	2.685305	2.766528	2.742448	2.612681	2.660842	2.640202	2.759266	2.733848	2.704416	2.717985	2.732319	2.769204	2.706327	2.695243	2.725248
ygdD	b2807	2.170441	2.203504	2.305942	2.338622	2.364423	2.408379	2.294092	2.133365	2.364996	2.357351	2.333271	2.212104	2.164325	2.267145	2.365378	2.39309	2.10508	2.17369	2.273261	2.415068	2.371494	2.204459	2.204459	2.255296	2.310146	2.229304	2.256252	2.177703	2.247269	2.274981	2.237522
ygdL	ygdL	2.070488	2.118075	2.069341	2.193566	2.310146	2.378183	2.102022	2.083102	2.165281	2.203886	2.16165	2.140818	2.121325	2.143685	2.17541	2.260838	2.131071	2.139863	2.174072	2.162987	2.180952	2.111004	2.119604	2.076986	2.162223	2.170823	2.120942	2.148463	2.111387	2.17541	2.142538
mltA	b2813	2.123044	2.237522	2.252047	2.319128	2.283772	2.325053	2.196624	2.348751	2.331169	2.3434	2.318746	2.232171	2.219749	2.28511	2.31263	2.367863	2.160121	2.26963	2.3348	2.447366	2.397294	2.220895	2.269247	2.255487	2.289505	2.266381	2.217264	2.287595	2.264852	2.301928	2.26963
metZ	b2814	3.446515	3.734526	3.587749	3.597878	3.483401	3.281965	3.525828	3.730512	3.782304	3.66152	3.542837	3.707578	3.577047	3.488178	3.501365	3.423964	3.796065	3.730512	3.730512	3.651391	3.676809	3.681013	3.759944	3.605905	3.584309	3.501365	3.506716	3.657888	3.605905	3.657888	3.536148
metW	b2815	3.553158	3.688467	3.69764	3.721339	3.597878	3.433328	3.584309	3.810398	3.966921	3.782304	3.644319	3.668782	3.570358	3.612021	3.638777	3.454542	3.759944	3.791287	3.832568	3.827025	3.730512	3.66152	3.712547	3.641261	3.730512	3.601892	3.648142	3.605905	3.700698	3.832568	3.560038
metV	b2816	3.54666	3.69764	3.676809	3.668782	3.520095	3.38211	3.560038	3.764913	3.926214	3.757077	3.597878	3.730512	3.587749	3.581443	3.560038	3.469258	3.799887	3.764913	3.791287	3.712547	3.734526	3.673178	3.700698	3.664195	3.626928	3.591189	3.597878	3.66152	3.685218	3.716561	3.562522
argA	b2818	2.095524	2.238096	2.448704	2.527635	2.630837	2.865717	2.305942	2.526297	2.427108	2.56968	2.483487	2.221469	2.248225	2.388312	2.465905	2.594525	2.131454	2.384108	2.631601	2.85425	2.738052	2.336711	2.283772	2.438766	2.484825	2.50279	2.345311	2.489412	2.481003	2.546746	2.554009
recB	b2820	2.192801	2.170059	2.069532	2.138716	2.093422	2.219367	2.164325	2.234464	2.202739	2.231789	2.143685	2.187832	2.187641	2.21994	2.271541	2.227776	2.152667	2.174072	2.217455	2.247269	2.219749	2.137951	2.110813	2.21478	2.221469	2.195286	2.209811	2.257207	2.247843	2.169103	2.193566
ptr	ptr	2.114253	2.030927	2.031118	2.084821	2.065137	2.156681	2.029207	2.111004	2.100875	2.127249	2.118649	2.056154	2.046598	2.144258	2.157254	2.125147	2.052141	2.118267	2.153049	2.07775	2.06055	2.04335	2.05367	2.132791	2.124	2.121325	2.08635	2.149036	2.10508	2.069341	2.119604
thyA	b2827	2.738817	2.72563	2.746461	2.756399	2.734995	2.713398	2.743786	2.716839	2.784302	2.741493	2.855015	2.701167	2.732319	2.750666	2.836859	2.85425	2.729452	2.767293	2.734612	2.766528	2.783729	2.730026	2.769204	2.759075	2.810867	2.817556	2.753342	2.741493	2.738052	2.733848	2.760604
lgt	b2828	2.682629	2.605801	2.654344	2.63485	2.664855	2.618223	2.627014	2.61249	2.639819	2.629881	2.697154	2.552098	2.61249	2.662944	2.713398	2.738052	2.613063	2.65186	2.656446	2.659504	2.713398	2.631601	2.653579	2.638099	2.656446	2.709385	2.589747	2.58344	2.640966	2.618223	2.695434
ptsP	b2829	2.553435	2.497439	2.457496	2.431313	2.414113	2.417553	2.538719	2.533559	2.522092	2.500305	2.483869	2.50279	2.520755	2.509097	2.538719	2.527635	2.48559	2.455393	2.524577	2.447558	2.489985	2.503554	2.487883	2.502408	2.48559	2.51999	2.455393	2.451189	2.521519	2.447366	2.512537
nudH	nudH	3.132705	3.150861	2.976182	2.978475	3.000071	3.012876	3.034472	3.010773	2.999306	2.985164	3.016507	3.134616	3.115122	3.024725	3.129838	3.142261	3.055303	2.977519	3.01192	2.973124	2.963186	3.074032	3.052628	2.995293	3.050334	3.029311	3.018227	2.986884	3.036191	3.039632	3.01192
tas	b2834	2.657211	2.660269	2.695434	2.644215	2.653579	2.611343	2.673073	2.63313	2.550378	2.550378	2.564902	2.619943	2.722572	2.663326	2.637526	2.616121	2.659504	2.685305	2.612681	2.532604	2.550378	2.619179	2.695434	2.622237	2.58344	2.573884	2.637335	2.601787	2.618988	2.635806	2.637526
lysA	b2838	2.517697	2.565667	2.623765	2.590512	2.59873	2.535853	2.58344	2.633703	2.43762	2.584778	2.538719	2.52343	2.619943	2.618606	2.524386	2.539293	2.508906	2.575222	2.580765	2.474696	2.517697	2.55592	2.620326	2.613063	2.540822	2.633703	2.536617	2.505848	2.562036	2.566049	2.524577
ygeA	b2840	2.193566	2.155725	2.174837	2.232744	2.222806	2.021562	2.164325	2.192037	2.247843	2.223953	2.205415	2.270776	2.17713	2.202166	2.320848	2.249563	2.215162	2.187832	2.218411	2.111578	2.124	2.187259	2.111004	2.205033	2.162987	2.149036	2.217455	2.193566	2.164325	2.196242	2.170823
lysS	b2890	3.07021	3.120664	3.126398	3.216604	3.177425	3.128118	3.08913	3.186599	3.165767	3.166723	3.192333	3.090468	3.13538	3.133278	3.130985	3.171692	3.183923	3.15239	3.182777	3.177999	3.108051	3.135954	3.168634	3.142643	3.185452	3.148567	3.122576	3.130985	3.121047	3.139585	3.0941
prfB	b2891	3.111491	3.18851	3.209533	3.177999	3.157167	3.162328	3.183923	3.195964	3.177425	3.192333	3.218706	3.18851	3.197493	3.210297	3.212017	3.177425	3.127544	3.18851	3.205137	3.179146	3.202844	3.163283	3.206284	3.180292	3.161181	3.212973	3.174368	3.132705	3.176661	3.150861	3.193479
recJ	b2892	2.335564	2.420228	2.435135	2.44278	2.452718	2.550569	2.418699	2.562036	2.451189	2.473358	2.45654	2.389459	2.438193	2.466287	2.516359	2.595098	2.435135	2.479665	2.484825	2.509097	2.47202	2.417553	2.44106	2.49419	2.486354	2.466287	2.3606	2.479665	2.49419	2.463229	2.452718
dsbC	b2893	2.721616	2.770159	2.747608	2.778378	2.784302	2.804943	2.759266	2.771688	2.784875	2.774937	2.783538	2.753342	2.775129	2.820614	2.846223	2.915789	2.743021	2.784875	2.818512	2.717985	2.762324	2.704416	2.752386	2.774937	2.760031	2.709576	2.6811	2.698109	2.771688	2.770159	2.744932
xerD	b2894	2.518461	2.51311	2.483487	2.417553	2.476798	2.618606	2.539293	2.483869	2.39309	2.454247	2.44106	2.512155	2.509097	2.500305	2.604463	2.663326	2.49419	2.45654	2.495145	2.466478	2.51311	2.483487	2.469918	2.51139	2.461509	2.482723	2.45654	2.32964	2.522092	2.502408	2.51311
ygfX	ygfX	2.30059	2.522092	2.526297	2.443544	2.477563	2.466287	2.512537	2.436473	2.374361	2.383916	2.473167	2.512537	2.521519	2.552098	2.605036	2.571782	2.465331	2.51311	2.469918	2.556684	2.564329	2.51311	2.498012	2.495145	2.506803	2.49419	2.399014	2.404748	2.555729	2.491896	2.505466
ygfY	ygfY	2.68282	2.726777	2.779524	2.799209	2.829214	2.818512	2.760031	2.668487	2.666958	2.640202	2.746461	2.668678	2.706327	2.800356	2.804178	2.904514	2.777804	2.757928	2.769204	2.811823	2.790609	2.808383	2.790609	2.77876	2.799209	2.75315	2.631601	2.663326	2.836668	2.786213	2.773026
ygfZ	b2898	3.054539	3.009818	3.00676	3.080148	3.041925	2.965861	2.985164	3.01192	3.04613	3.01192	3.021667	3.005613	3.054539	3.02568	3.043836	3.142643	3.080912	3.063139	3.091233	3.002747	2.957261	3.013831	3.099068	3.082441	3.068299	3.003702	2.926683	2.977519	3.041925	3.055303	2.990706
