#VALUE = Log10 normalized expression of ORF																																
ORF	ORF_BNAME	P	A384	A744	A1224	A1824	A2496	B384	B744	B1224	B1824	B2496	C384	C744	C1224	C1824	C2496	D384	D744	D1224	D1824	D2496	E384	E744	E1224	E1824	E2496	F384	F744	F1224	F1824	F2496
murG	b0090	2.471256	2.416406	2.316071	2.331933	2.332506	2.443544	2.458833	2.383916	2.398823	2.336711	2.252047	2.470683	2.398823	2.405704	2.39997	2.372258	2.429019	2.358498	2.457114	2.38277	2.413157	2.381623	2.336329	2.404748	2.372258	2.329831	2.428064	2.389459	2.439531	2.336329	2.416406
murC	b0091	2.540057	2.56108	2.550569	2.545599	2.532604	2.613636	2.570062	2.557831	2.499541	2.484443	2.433606	2.548275	2.577707	2.547511	2.489412	2.552098	2.564329	2.59376	2.595098	2.577707	2.619943	2.552098	2.561653	2.540822	2.544262	2.533559	2.544262	2.551524	2.573694	2.542542	2.560507
ddlB	b0092	2.590512	2.597583	2.559169	2.553053	2.543497	2.588027	2.588027	2.605036	2.517506	2.552098	2.433989	2.646508	2.637335	2.591276	2.571018	2.545599	2.608476	2.579045	2.607521	2.595481	2.572356	2.586116	2.591276	2.58172	2.556684	2.534132	2.594525	2.595481	2.58172	2.575222	2.56108
ftsQ	b0093	2.732319	2.680145	2.605036	2.51139	2.533177	2.588409	2.679189	2.618223	2.591276	2.542542	2.469154	2.730217	2.674793	2.650713	2.648993	2.577133	2.69314	2.606756	2.666958	2.528399	2.604463	2.668487	2.613063	2.602934	2.536617	2.554773	2.642495	2.624721	2.629881	2.569298	2.625103
ftsA	b0094	2.820232	2.773982	2.741493	2.700212	2.703652	2.707856	2.82501	2.757928	2.722572	2.71875	2.623192	2.809147	2.79768	2.753342	2.725056	2.706327	2.801885	2.743786	2.762324	2.696389	2.706327	2.784302	2.782964	2.75315	2.717221	2.694096	2.761559	2.765764	2.786213	2.730026	2.706901
ftsZ	b0095	3.423964	3.340255	3.29305	3.296681	3.294006	3.300313	3.352105	3.229218	3.247947	3.262663	3.231893	3.416702	3.37867	3.360705	3.305855	3.278717	3.338344	3.302415	3.288081	3.25024	3.276805	3.360705	3.337198	3.347518	3.343504	3.267632	3.402559	3.38555	3.355162	3.305855	3.321717
lpxC	b0096	3.405235	3.318468	3.337198	3.297637	3.318468	3.231893	3.416702	3.25024	3.257885	3.216604	3.18851	3.317322	3.270499	3.317322	3.2382	3.256356	3.391092	3.37867	3.394914	3.343504	3.363763	3.405235	3.347518	3.40103	3.362043	3.314646	3.391092	3.303944	3.376567	3.342167	3.363763
secM	b0097	3.114357	3.00676	3.036191	2.931269	2.933945	2.933945	3.084926	2.881006	2.976182	2.921905	2.94847	3.053201	3.069446	3.071166	3.022431	2.933945	2.996058	2.954395	3.028929	2.983826	3.075752	2.971404	2.952101	3.040778	3.04613	2.999306	3.052628	2.969684	3.052628	3.029311	3.060654
secA	b0098	3.028929	3.068299	3.055303	3.095246	3.083779	3.038294	3.022431	3.043836	3.120664	3.074032	3.090468	3.063903	3.083779	3.05645	2.961083	2.973124	3.048996	3.101744	3.15927	3.138247	3.080148	3.028929	3.072886	3.158314	3.18851	3.047467	3.077281	3.15927	3.117798	3.052628	3.069446
yacG	b0101	2.22682	2.252811	2.278039	2.268674	2.225864	2.222806	2.223953	2.374361	2.233318	2.275936	2.252811	2.219367	2.214015	2.239051	2.116929	2.271541	2.225291	2.34168	2.308044	2.296768	2.330213	2.305942	2.316071	2.258927	2.2509	2.235038	2.167956	2.260265	2.230833	2.179041	2.186112
yacF	yacF	2.48903	2.473932	2.512155	2.39309	2.439531	2.469918	2.491896	2.514448	2.420228	2.353911	2.427682	2.404748	2.446029	2.477563	2.368627	2.559169	2.45654	2.493616	2.572356	2.529164	2.557831	2.468198	2.436473	2.517506	2.469154	2.412392	2.385828	2.387165	2.509097	2.422713	2.447366
coaE	b0103	2.242109	2.129351	2.105844	2.116929	2.164134	2.260838	2.172734	2.121325	2.119222	2.119987	2.07947	2.179041	2.160121	2.115209	2.190508	2.232171	2.164325	2.091893	2.198917	2.2509	2.227776	2.112533	2.098008	2.184966	2.20962	2.125147	2.150947	2.080617	2.131454	2.171396	2.13604
guaC	b0104	2.48062	2.526297	2.521519	2.512155	2.472976	2.554009	2.534132	2.44278	2.579045	2.61421	2.585734	2.496674	2.513875	2.515594	2.503554	2.756399	2.521519	2.552098	2.521519	2.53031	2.455202	2.566813	2.536235	2.564329	2.57312	2.534706	2.460553	2.453864	2.564902	2.517506	2.476225
nadC	b0109	2.512155	2.50795	2.551524	2.493043	2.506421	2.554773	2.515594	2.515594	2.409908	2.51999	2.520755	2.471256	2.526297	2.523048	2.34856	2.395766	2.529164	2.585734	2.512537	2.514448	2.50107	2.52343	2.555729	2.533177	2.557066	2.513875	2.486354	2.48559	2.482341	2.508906	2.457114
ampD	b0110	2.219367	2.160121	2.217264	2.105844	2.061123	2.062843	2.187259	2.090173	2.095524	2.07775	2.05367	2.135276	2.277083	2.231789	2.154387	2.099346	2.225864	2.181908	2.199491	2.051759	2.153049	2.179806	2.223953	2.198917	2.130307	2.145023	2.211913	2.106609	2.132027	2.075457	2.123044
