TP53,MYC,any
COL18A1,FOXA1,any
COL18A1,TP53,any
>FOXA1,6.855111903562767
COL18A1,FOXA1,any
TP53,RNF144B,any
COL18A1,TP53,any
>FOXA1,6.798447123098156
TP53,FOXA1,any
TP53,MYC,any
LIF,TP53,any
>MLH1,6.927326817390217
MLH1,TP53,any
TP53,RB1,any
FASTKD5,MLH1,any
>MLH1,6.912034203711689
ODC1,MYC,any
MYC,TP53,any
TP53,MLH1,any
>MLH1,7.153431258308073
TP53,MYC,any
RNF144B,TP53,any
TP53,MLH1,any
>MLH1,7.140236199209742
MLH1,TP53,any
RB1,MYC,any
TP53,RB1,any
>MLH1,6.930682396353902
MLH1,TP53,any
TP53,RB1,any
UBOX5,MLH1,any
>RAC1,6.971860027397761
MYC,RAC1,any
SMARCA2,RB1,any
SMARCA2,MYC,any
>RAC1,7.073217011878159
MYC,TP53,any
RAC1,MYC,any
MYC,RB1,any
>RAC1,7.099648273587808
TP53,MYC,any
MYC,RAC1,any
RNF144B,TP53,any
>RAC1,7.043604881039
TP53,MYC,any
MYC,RAC1,any
MCL1,TP53,any
>RAC1,7.119995320108289
MYC,TP53,any
MYC,RAC1,any
BCAT1,MYC,any
>CREB3,6.73520098972612
BCL2L1,TP53,any
MFSD7,CREB3,any
CREB3,BCL2L1,any
>CREB3,7.024782634196793
BCL2L1,TP53,any
TP53,MYC,any
BCL2L1,CREB3,any
>CREB3,6.92053910339932
BCL2L1,TP53,any
CREB3,ZDHHC11,any
CREB3,BCL2L1,any
>CREB3,6.82273182699245
BCL2L1,TP53,any
CREB3,BCL2L1,any
TP53,RB1,any
>CREB3,6.734594400569813
TP53,BCL2L1,any
RNF144B,TP53,any
BCL2L1,CREB3,any
>PPP1CA,6.963382818702517
HEYL,ZNF512B,any
PPP1CA,TP53,any
HEYL,PPP1CA,any
>PPP1CA,6.829576826135777
TP53,RNF144B,any
PPP1CA,TP53,any
NOM1,PPP1CA,any
>PPP1CA,6.88733929465258
PPP1CA,TP53,any
TP53,MCL1,any
NOM1,PPP1CA,any
>PPP1CA,6.913995972342724
TP53,MYC,any
PPP1CA,TP53,any
NOM1,PPP1CA,any
>PPP1CA,6.970593319113091
PPP1CA,TP53,any
TP53,MCL1,any
HEYL,PPP1CA,any
>AKT1,7.657200312213691
MCL1,AKT1,any
AKT1,TERT,any
MCL1,TP53,any
>AKT1,7.681997339897771
MCL1,AKT1,any
RNF144B,TP53,any
TP53,MCL1,any
>AKT1,7.691004984625055
MYC,TP53,any
TAF4B,MYC,any
MYC,AKT1,any
>AKT1,7.656858737609608
MYC,TP53,any
AKT1,MYC,any
MYC,BCAT1,any
>AKT1,7.698809314816297
RB1,MYC,any
MYC,AKT1,any
RB1,CCNE1,any
>GADD45A,7.147642729002471
MYC,TP53,any
MYC,GADD45A,any
RB1,MYC,any
>GADD45A,7.195211431382387
MYC,TP53,any
BCAT1,MYC,any
TP53,GADD45A,any
>GADD45A,7.240068807671685
MYC,TP53,any
MYC,GADD45A,any
TAF4B,MYC,any
>GADD45A,7.109767339205142
TP53,MYC,any
NF1,GADD45A,any
GADD45A,TP53,any
>GADD45A,7.154735591177326
MYC,GADD45A,any
SMARCA2,MYC,any
GADD45A,TP53,any
>SMAD4,7.028452233706064
ID1,SMAD4,any
MYC,TP53,any
SMAD4,MYC,any
>SMAD4,7.098360934497468
MYC,TP53,any
ARFRP1,SMAD4,any
SMAD4,MYC,any
>SMAD4,7.147642729002471
SMAD4,MYC,any
MYC,RB1,any
RB1,TP53,any
>SMAD4,7.056205011515585
MYC,TP53,any
SMAD4,MYC,any
DCP1B,SMAD4,any
>SMAD4,7.065185912501309
MYC,TP53,any
CTBP1,SMAD4,any
CTBP1,MYC,any
>ESR1,7.011083612876279
MYC,TP53,any
NDRG2,MYC,any
MYC,ESR1,any
>ESR1,7.055633253753184
MYC,RB1,any
RB1,CCNE1,any
ESR1,MYC,any
>ESR1,7.147642729002471
MYC,TP53,any
TP53,RB1,any
ESR1,MYC,any
>ESR1,7.065185912501309
MYC,TP53,any
MYC,CTBP1,any
ESR1,MYC,any
>ESR1,7.024782634196793
TP53,BCL2L1,any
MYC,TP53,any
ESR1,MYC,any
>GSK3B,7.154735591177326
MYC,GSK3B,any
GSK3B,TP53,any
MYC,SMARCA2,any
>GSK3B,7.056671671993123
TSC1,GSK3B,any
GSK3B,TP53,any
GSK3B,MYC,any
>GSK3B,7.005951065327932
IGHM,GSK3B,any
GSK3B,TP53,any
GSK3B,MYC,any
>GSK3B,7.113167560811765
TP53,MYC,any
MCL1,TP53,any
TP53,GSK3B,any
>GSK3B,7.147642729002471
MYC,TP53,any
RB1,MYC,any
TP53,GSK3B,any
>BAX,7.4702872231564275
MYC,BAX,any
BAX,TP53,any
TAF4B,MYC,any
>BAX,7.38879199788546
MYC,BAX,any
RB1,MYC,any
CCNE1,RB1,any
>BAX,7.396501439093464
TP53,BAX,any
BAX,MYC,any
RNF144B,TP53,any
>BAX,7.433318046776328
BAX,MYC,any
BAX,TP53,any
