Gene	TP53	MYC	RB1	CCNE1	MCL1	BRCA1	AKT1	CTNNB1	TERT	BCL2L1	TRIM28	APC	MAX	MTOR	VAV2	MACF1	PTEN	NF1	GRB2	IGF1R	CBX8	E2F5	NOTCH1
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0
GeneName	TP53	MYC	RB1	CCNE1	MCL1	BRCA1	AKT1	CTNNB1	TERT	BCL2L1	TRIM28	APC	MAX	MTOR	VAV2	MACF1	PTEN	NF1	GRB2	IGF1R	CBX8	E2F5	NOTCH1
TCGA-13-1411-01	1			1																			
TCGA-04-1542-01	1			1																			
TCGA-29-1695-01	1			1																			
TCGA-13-0795-01	1			1																			
TCGA-59-2348-01	1				1		1																
TCGA-13-0891-01	1				1					1	1												
TCGA-31-1953-01	1				1					1													
TCGA-23-1117-01	1				1						1												
TCGA-24-2024-01	1				1							1							1		1		
TCGA-29-1771-01	1				1													1					
TCGA-24-1562-01	1				1													1					
TCGA-09-2049-01	1				1															1			
TCGA-13-0910-01	1				1																		
TCGA-13-1495-01	1				1																		
TCGA-13-1409-01	1				1																		
TCGA-23-1031-01	1				1																		
TCGA-29-1776-01	1					1						1						1					
TCGA-23-1026-01	1					1																	
TCGA-29-1768-01	1					1																	
TCGA-25-1630-01	1					1																	
TCGA-04-1646-01	1						1																
TCGA-09-1675-01	1						1																
TCGA-24-1419-01	1						1																
TCGA-13-1412-01	1						1																
TCGA-10-0931-01	1						1																
TCGA-29-2434-01	1						1																
TCGA-09-2044-01	1							1	1	1											1		
TCGA-04-1514-01	1							1													1		
TCGA-36-2543-01	1								1	1	1							1			1		
TCGA-13-0760-01	1								1	1													
TCGA-42-2587-01	1								1											1			
TCGA-13-0911-01	1								1														
TCGA-09-1666-01	1								1														
TCGA-23-1111-01	1									1								1					
TCGA-36-2548-01	1									1													1
TCGA-04-1337-01	1									1													
TCGA-61-1911-01	1									1													
TCGA-36-1575-01	1									1													
TCGA-09-0369-01	1										1				1							1	
TCGA-13-1405-01	1										1						1	1					
TCGA-59-2372-01	1										1												
TCGA-23-1123-01	1										1												
TCGA-13-1497-01	1										1												
TCGA-61-2614-01	1										1												
TCGA-24-2254-01	1													1									1
TCGA-25-1315-01	1														1								
TCGA-61-1900-01	1															1	1						
TCGA-61-1730-01	1															1							1
TCGA-13-1507-01	1															1							
TCGA-04-1331-01	1																1	1		1	1		
TCGA-61-1895-01	1																1	1					
TCGA-36-2532-01	1																1						
TCGA-61-2094-01	1																1						
TCGA-23-1032-01	1																1						
TCGA-24-1567-01	1																1						
TCGA-13-1492-01	1																1						
TCGA-24-1413-01	1																	1					
TCGA-04-1367-01	1																	1					
TCGA-09-1670-01	1																	1					
TCGA-61-2110-01	1																	1					
TCGA-25-2399-01	1																	1					
TCGA-61-2102-01	1																	1					
TCGA-25-1628-01	1																		1				
TCGA-09-1662-01	1																			1			
TCGA-24-1551-01	1																			1			
TCGA-20-0991-01	1																			1			
TCGA-13-1487-01	1																				1		
TCGA-24-1845-01	1																				1		
TCGA-13-0889-01	1																						1
TCGA-59-2352-01	1																						
TCGA-25-1626-01	1																						
TCGA-29-1696-01	1																						
TCGA-10-0938-01	1																						
TCGA-13-2059-01	1																						
TCGA-36-1571-01	1																						
TCGA-13-0800-01	1																						
TCGA-13-0883-01	1																						
TCGA-04-1362-01	1																						
TCGA-13-0906-01	1																						
