Gene	TP53	SKP2	RB1	TRIP13	PTEN	EGFR	FOXM1	BCL2L1	CCNE1	PLK3	FADD	BID	TK1	CREB3	CDKN2A	GRB2	PIK3CA	PIK3R1	TFDP1	UFD1L	MDM2	REL	SETDB1	AKT1	APC	CDK6	PRKAA1	S100A8	UBE2I	FOXA1	EXOC3	SMN1	ANG	MAX	GHR	MYC	CCNB1	YY1	WNK1	SOX2	RICTOR	NEDD8	CDKN1A	CHGB	MTOR	HSP90AA1	RAP1B	TTC5	DYRK2	PPP1CA	CASP10	CDC42	CTNNB1	ARNT	CCNK	PRKAB2	CTNNA1	HIF1A	CTTN	BAK1	TNFRSF10B	CEP72	ALX4	RIPK1	TP73	CRKL	MAP4K1	USP7	TAF9	FDXR	MCM10	LAMA4	SELENBP1	LZTR1	BARD1	UBE3A	RAD1	SP1	HOMEZ	CHD3	SUMO1	PDGFRB	EXOC7	TAP1	JUN	HDAC2	ATM	PRMT1	COMT	CCNA2	KAT2B	ARIH2	XRCC6	SH2D1A	COPS5	SFN	CDC5L	ATF2	TARS	TARSL2	TSC2
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
GeneName	TP53	SKP2	RB1	TRIP13	PTEN	EGFR	FOXM1	BCL2L1	CCNE1	PLK3	FADD	BID	TK1	CREB3	CDKN2A	GRB2	PIK3CA	PIK3R1	TFDP1	UFD1L	MDM2	REL	SETDB1	AKT1	APC	CDK6	PRKAA1	S100A8	UBE2I	FOXA1	EXOC3	SMN1	ANG	MAX	GHR	MYC	CCNB1	YY1	WNK1	SOX2	RICTOR	NEDD8	CDKN1A	CHGB	MTOR	HSP90AA1	RAP1B	TTC5	DYRK2	PPP1CA	CASP10	CDC42	CTNNB1	ARNT	CCNK	PRKAB2	CTNNA1	HIF1A	CTTN	BAK1	TNFRSF10B	CEP72	ALX4	RIPK1	TP73	CRKL	MAP4K1	USP7	TAF9	FDXR	MCM10	LAMA4	SELENBP1	LZTR1	BARD1	UBE3A	RAD1	SP1	HOMEZ	CHD3	SUMO1	PDGFRB	EXOC7	TAP1	JUN	HDAC2	ATM	PRMT1	COMT	CCNA2	KAT2B	ARIH2	XRCC6	SH2D1A	COPS5	SFN	CDC5L	ATF2	TARS	TARSL2	TSC2
TCGA-37-4130-01				1																											1																															1																																							
TCGA-63-A5MH-01				1																											1																															1																																							
TCGA-77-8140-01				1																											1																															1																																							
TCGA-43-5668-01					1		1		1			1	1			1																			1																																1			1													1					1													
TCGA-NK-A7XE-01					1		1								1																								1																																																														
TCGA-33-AAS8-01					1			1						1																										1																																																													
TCGA-56-A49D-01					1			1																																																																																													
TCGA-56-8625-01					1			1																																																																																													
TCGA-68-A59J-01					1						1												1					1												1		1												1					1														1						1																						
TCGA-85-8664-01					1						1																																													1			1																																										
TCGA-85-A511-01					1						1																																																1																																										
TCGA-21-1075-01					1							1								1																				1																										1								1															1												
TCGA-NC-A5HT-01					1								1			1																																																						1													1																		
TCGA-66-2771-01					1										1									1						1								1								1									1																																														
TCGA-33-AASL-01					1										1																									1																																																													
TCGA-66-2778-01					1										1																																				1																																																		
TCGA-85-8582-01					1										1																																																				1																																		
TCGA-O2-A5IB-01					1																		1					1																										1		1																	1																												
TCGA-94-A5I6-01					1																														1					1																																																													
TCGA-94-8035-01					1																																			1																																																													
TCGA-63-7020-01					1																																																																																																
TCGA-34-A5IX-01					1																																																																																																
TCGA-60-2703-01						1	1	1																		1													1																																																														
TCGA-60-2698-01						1	1		1		1																												1	1																			1								1																																		
TCGA-46-3769-01						1		1							1																																																																																						
TCGA-77-8128-01						1			1			1		1	1					1																				1																										1	1							1									1						1												
TCGA-58-A46L-01						1			1						1								1					1												1	1													1		1											1						1			1																									
TCGA-LA-A7SW-01						1			1										1				1										1															1						1																																															
TCGA-58-8386-01						1			1																	1																																																																											
TCGA-56-A4BX-01						1			1																															1																											1																																		
TCGA-92-8064-01						1					1			1								1								1			1							1		1						1											1																				1																						
TCGA-85-8354-01						1					1				1							1																		1																			1																																										
TCGA-77-8148-01						1					1				1																		1							1								1											1								1																																		
TCGA-98-8020-01						1					1				1																																												1																																										
TCGA-77-8133-01						1					1																													1																			1																																										
TCGA-77-8143-01						1					1																																																1																																										
TCGA-34-2604-01						1									1					1																				1																										1								1		1													1												
TCGA-77-7141-01						1									1																									1																1																																1													
TCGA-33-4589-01						1																				1																																																																											
TCGA-85-8351-01						1																																																																																															
TCGA-85-8584-01							1		1						1						1																		1								1		1																		1																																		
TCGA-63-A5MT-01							1				1				1																								1																				1																				1																						
TCGA-43-8116-01							1				1				1																								1																				1																																										
TCGA-56-8504-01							1				1													1														1	1							1									1				1																																										
TCGA-22-5479-01							1							1							1																		1								1		1																																																				
TCGA-85-A512-01							1								1																								1	1																																																													
TCGA-77-7142-01							1								1																								1	1																																																													
TCGA-33-4566-01							1								1																								1																																																														
TCGA-66-2785-01							1											1														1					1		1																														1																																
TCGA-34-2605-01							1															1																	1	1																											1																																		
TCGA-77-7140-01							1																																1																																																													1	
TCGA-66-2769-01							1																																1																																																														
TCGA-77-A5GB-01							1																																																																																														
TCGA-34-7107-01								1	1																															1																											1																																		
TCGA-NC-A5HG-01								1			1	1								1																																							1							1								1															1												
TCGA-85-A4QQ-01								1			1				1											1																																	1																																										
TCGA-66-2773-01								1						1	1		1																						1	1																															1																														
TCGA-60-2704-01								1							1				1																					1																																																													
TCGA-NC-A5HN-01								1							1									1														1		1						1									1	1											1								1																										
TCGA-66-2781-01								1							1																									1																											1																																		
TCGA-6A-AB49-01								1							1																																																																																						
TCGA-21-1078-01								1									1																																														1																																						
TCGA-85-8071-01								1																1			1													1																																																													
TCGA-43-A474-01								1																																																																																													
TCGA-85-8277-01									1		1			1												1														1																1			1					1																																					
TCGA-22-1017-01									1		1										1									1			1														1	1	1							1			1																																										
TCGA-85-7843-01									1		1																						1							1		1						1											1								1												1																						
TCGA-92-7341-01									1		1																						1							1								1											1								1																																		
TCGA-85-A4CL-01									1			1		1	1																									1																											1																																		
TCGA-21-1071-01									1			1			1		1			1		1																	1	1																										1	1							1															1												
TCGA-85-7696-01									1					1	1								1					1												1														1		1											1						1																												
TCGA-94-7943-01									1						1															1										1																											1																																		
TCGA-85-A53L-01									1						1																									1								1																																																					
TCGA-NC-A5HL-01									1						1																									1																											1																																		
TCGA-39-5040-01									1						1																																																																																						
TCGA-56-8082-01									1						1																																																																																						
TCGA-56-A4BY-01									1							1																								1																								1						1													1																		
TCGA-66-2789-01									1											1																				1				1																						1			1					1															1											1	
TCGA-NC-A5HR-01									1																															1																											1																																		
TCGA-22-4591-01										1	1				1																																																																																						
TCGA-39-5039-01										1																																																																																											
TCGA-56-7579-01											1		1			1																								1																			1											1													1																		
TCGA-77-8009-01											1			1								1																		1																			1																																										
TCGA-56-8083-01											1			1												1																																	1																																										
TCGA-O2-A52S-01											1			1																										1								1											1																																									1	
TCGA-60-2726-01											1				1		1					1								1							1			1																1			1												1						1																								
TCGA-22-1002-01											1				1			1																																									1																																		1								
TCGA-63-A5MJ-01											1				1					1													1							1		1						1											1							1								1					1										1												
TCGA-58-8391-01											1				1																									1																			1																																										
TCGA-NK-A5D1-01											1				1																									1																			1																																										
TCGA-94-A4VJ-01											1				1																									1																			1																																										
TCGA-43-6771-01											1				1																														1														1																			1																							
TCGA-60-2725-01											1				1																																												1																																										1
TCGA-98-A538-01											1								1					1																1																			1																																										
TCGA-63-A5MS-01											1								1																																								1								1																																		
TCGA-60-2715-01											1											1	1					1												1														1		1			1														1																												
TCGA-58-8387-01											1											1																		1																			1																																										
TCGA-NC-A5HO-01											1																			1										1																			1																																										
TCGA-46-3766-01											1																												1	1																			1																																									1	
TCGA-85-8072-01											1																													1																			1																																										
TCGA-85-A5B5-01											1																													1																			1																																										
TCGA-85-7697-01											1																													1																			1																																										
TCGA-85-8048-01											1																													1																			1																																										
TCGA-34-5231-01											1																													1																			1																																										
TCGA-85-8276-01											1																																																1																				1																						
TCGA-96-8169-01											1																																																1																																										
TCGA-56-7221-01											1																																																1																																										
TCGA-63-A5MU-01											1																																																1																																										
TCGA-18-4721-01												1		1									1	1				1										1		1						1								1	1	1																	1																												
TCGA-98-8023-01												1			1					1			1					1																										1		1										1							1	1															1												
TCGA-MF-A522-01												1								1																																														1								1															1												
TCGA-85-6175-01													1		1	1					1																										1		1																					1													1																		
TCGA-37-5819-01													1		1	1							1					1											1	1														1		1									1		1			1			1			1							1					1													
TCGA-56-8305-01													1		1																																																																																						
TCGA-77-7139-01													1			1						1																		1																														1													1																		
TCGA-94-A5I4-01													1													1														1																																																													
TCGA-NC-A5HJ-01													1																																																						1																																		
TCGA-NC-A5HP-01														1	1								1					1					1							1								1						1		1																	1						1																						
TCGA-37-A5EN-01														1	1																									1																											1									1																									
TCGA-52-7622-01														1	1																									1																																																													
TCGA-56-7223-01														1	1																									1																																																													
TCGA-94-8490-01														1	1																																																																																						
TCGA-22-4613-01														1						1		1								1					1					1																										1								1															1												
TCGA-43-2576-01															1				1				1																															1		1																	1																												
