DIP2A,TRIP13,any
TRIM39,PRPF3,any
>TRIM39,4.626504654018046
HINFP,TRIM39,any
HINFP,TP53,any
TP53,SKP2,any
>TRIM39,4.526144077570214
DIP2A,TRIM39,any
DIP2A,TRIP13,any
TRIM39,UBE2L3,any
>MBIP,5.697165733320557
DIP2A,MBIP,any
DIP2A,TRIP13,any
MBIP,PPFIA1,any
>MBIP,5.07101860373211
MBIP,DIP2A,any
DGCR6L,MBIP,any
DIP2A,TRIP13,any
>MBIP,5.1040057296141015
DIP2A,MBIP,any
DIP2A,TRIP13,any
DIP2A,ADAMTSL4,any
>MBIP,5.297427177475155
MBIP,DIP2A,any
MBIP,DGCR6L,any
DIP2A,TRIP13,any
MBIP,PPFIA1,any
>MBIP,5.360566270790794
CDK6,MCM7,any
MCM7,MBIP,any
CDK6,CDKN2A,any
>NRXN1,4.195066952547689
TRAF3IP1,MACF1,any
MACF1,NRXN1,any
TRAF3IP1,DMD,any
>NRXN1,4.285322655960495
EXOC1,COLEC12,any
MACF1,NRXN1,any
EXOC1,MACF1,any
EXOC3,EXOC1,any
>NRXN1,4.218188261527539
NRXN1,MACF1,any
MACF1,EXOC1,any
NRXN1,MYO16,any
EXOC1,EXOC3,any
>NRXN1,4.261190173295913
APC,TP53,any
MACF1,NRXN1,any
MACF1,APC,any
>NRXN1,4.090076481389292
NRXN1,MACF1,any
CEP63,POLR3C,any
MACF1,CEP63,any
>MTOR,5.672703619928123
YY1,MTOR,any
MTOR,RICTOR,any
YY1,TP53,any
>MTOR,5.680979825671477
TP53,SKP2,any
YY1,MTOR,any
YY1,TP53,any
>MTOR,5.962503068807587
MTOR,EGFR,any
EGFR,TP53,any
RICTOR,MTOR,any
>MTOR,5.5679454007105464
CCNE1,RB1,any
RB1,TP53,any
MTOR,RICTOR,any
CCNE1,MTOR,any
>MTOR,5.5975326714785565
SKP2,TP53,any
RB1,SKP2,any
RB1,CCNE1,any
CCNE1,MTOR,any
>DTX2,5.366009909586011
TRIP13,PLK3,any
DTX2,TRIP13,any
PLK3,TP53,any
>DTX2,5.0863637273769005
TRIP13,PLK3,any
TRIP13,DTX2,any
TRIP13,COMT,any
PLK3,TP53,any
>DTX2,5.012456518992737
TRIP13,MAD2L1BP,any
MAD2L1BP,TP53,any
DTX2,TRIP13,any
>DTX2,5.076121267510496
DTX2,SUMO1,any
SUMO1,SOX2,any
DTX2,TRIP13,any
RFX6,DTX2,any
>DTX2,4.865289184208477
DTX2,SUMO1,any
SUMO1,SOX2,any
DTX2,RFX6,any
RFX6,PRKAA1,any
>EXOC3,5.510877335814983
CTNND1,EXOC3,any
TJP1,CTNND1,any
CTNND1,CTTN,any
>EXOC3,5.520987695525254
APC,TP53,any
CTNNB1,EXOC3,any
CTNNB1,APC,any
>EXOC3,5.979757769195969
EXOC3,CTNND1,any
EGFR,TP53,any
CTNND1,EGFR,any
>EXOC3,5.704637381350427
CTNNA1,EXOC3,any
EPHA2,CTNNA1,any
EPHA2,TP53,any
>EXOC3,5.880173278500894
EXOC7,CDC5L,any
CDC5L,CDKN2A,any
EXOC7,EXOC3,any
>SEC22B,6.293882396748764
BCL2L1,TP53,any
SEC22B,CREB3,any
CREB3,BCL2L1,any
>SEC22B,5.492935951554127
BCL2L1,TP53,any
CREB3,SEC22B,any
BCL2L1,CREB3,any
ZNF219,BCL2L1,any
>SEC22B,5.467311261855124
BCL2L1,TP53,any
SEC22B,CREB3,any
TP53,TAF9,any
CREB3,BCL2L1,any
>SEC22B,5.947050165233758
BCL2L1,TP53,any
TP53,PTEN,any
SEC22B,CREB3,any
CREB3,BCL2L1,any
>SEC22B,5.427209879956585
BCL2L1,TP53,any
CREB3,SEC22B,any
TSPAN2,CREB3,any
CREB3,BCL2L1,any
>HRAS,5.302907940747496
HSP90AA1,EGFR,any
EGFR,TP53,any
EGFR,HRAS,any
>HRAS,4.998230315877204
EGFR,TP53,any
EGFR,HRAS,any
SLC9A1,EGFR,any
>HRAS,5.171385550714661
EGFR,RASA1,any
EGFR,TP53,any
HRAS,EGFR,any
>HRAS,5.193013524168353
HRAS,IGF1R,any
EGFR,TP53,any
HRAS,EGFR,any
>HRAS,5.111221361889167
RGL1,HRAS,any
TP53,SKP2,any
EGFR,TP53,any
HRAS,EGFR,any
>IGF1R,5.193013524168353
HRAS,IGF1R,any
EGFR,TP53,any
HRAS,EGFR,any
>IGF1R,4.988257182117413
CTNNA1,EGFR,any
CTNNA1,CTTN,any
IGF1R,CTNNA1,any
>IGF1R,5.243577251789704
PIK3CA,CRKL,any
CRKL,IGF1R,any
PIK3CA,PTEN,any
>IGF1R,5.047455682249282
CTNNA1,EXOC3,any
CTNNA1,IGF1R,any
PIP5K1A,CTNNA1,any
>IGF1R,5.069504224068786
CRKL,IGF1R,any
HGF,TP53,any
CRKL,HGF,any
>BID,6.6830135875403025
TP53,PTEN,any
BID,FADD,any
BID,TP53,any
>BID,6.592069477449561
BCL2L1,TP53,any
TP53,BID,any
BID,FADD,any
>BID,6.477857375548778
BID,SETDB1,any
FADD,BID,any
BID,TP53,any
>BID,7.095735943286467
