CCND3,PIK3R1,any
PIK3R1,ERBB3,any
>CCND3,5.23815673167806
CCND3,PIK3CA,any
TRIM28,CCND3,any
PIK3CA,PIK3R1,any
>CCND3,5.681729509670459
BCL2L1,PIK3R1,any
PIK3R1,CCND3,any
CCND3,PIK3CA,any
>CCND3,5.514543174321313
PIK3CA,CCND3,any
ERBB2,PIK3R1,any
PIK3R1,PIK3CA,any
>CCND3,5.28985619537169
CCND3,PIK3CA,any
CCND3,PIK3R1,any
CCND3,TRIM28,any
TRIM28,MYC,any
>CTNND1,5.915560019864008
EXOC3,CTNND1,any
CTNND1,PIK3R1,any
CTNND1,PIK3CA,any
>CTNND1,6.166991300123799
CTNND1,DNM2,any
CTNND1,PIK3R1,any
CTNND1,PIK3CA,any
>CTNND1,5.908980421143787
PIK3CA,CTNND1,any
ERBB2,PIK3R1,any
PIK3R1,PIK3CA,any
>CTNND1,6.076857882434564
PIK3R1,BCL2L1,any
BCL2L1,PIK3CA,any
PIK3CA,CTNND1,any
>CTNND1,5.983109539644567
CTNND1,CTNNB1,any
CTNNB1,MYC,any
CTNND1,PIK3CA,any
>SOS1,5.637728787071021
BCL2L1,PIK3R1,any
SOS1,PIK3CA,any
PIK3CA,BCL2L1,any
>SOS1,5.492507068574136
SOS1,ERBB2,any
ERBB2,MYC,any
SOS1,PIK3R1,any
>SOS1,5.469688869965015
ERBB2,SOS1,any
SOS1,PIK3R1,any
SOS1,PIK3CA,any
>SOS1,5.387460937759119
PIK3CA,PTEN,any
PIK3CA,SOS1,any
BCL2L1,PIK3CA,any
>SOS1,5.347026430335539
BCL2L1,TP53,any
SOS1,PIK3CA,any
PIK3CA,BCL2L1,any
>BCL2,5.754525495816085
PTEN,TP53,any
PTEN,PIK3R1,any
TP53,BCL2,any
>BCL2,6.00233405444737
BCL2,MYC,any
MYC,CTNNB1,any
BCL2,TP53,any
>BCL2,6.360182221430761
TP53,BCL2L1,any
TP53,PTEN,any
BCL2,TP53,any
>BCL2,6.594271257138358
BCL2,MYC,any
TP53,PTEN,any
BCL2,TP53,any
>BCL2,5.765990965557777
TP53,PTEN,any
PTEN,PIK3CA,any
BCL2,TP53,any
>DAPP1,5.589287927109053
DAPP1,PIK3CA,any
PPP3CC,DAPP1,any
DAPP1,PIK3R1,any
>DAPP1,5.367415357148128
DAPP1,PIK3CA,any
DAPP1,ERBB3,any
DAPP1,PIK3R1,any
>DAPP1,5.661015442059638
DAPP1,PIK3CA,any
PIK3CA,BCL2L1,any
DAPP1,PIK3R1,any
>DAPP1,5.399266505164789
PIK3CA,PTEN,any
DAPP1,PIK3CA,any
DAPP1,PPP3CC,any
>DAPP1,5.49338624984785
DAPP1,PIK3CA,any
PIK3R1,ERBB2,any
DAPP1,PIK3R1,any
>APC,5.824675589205121
TP53,APC,any
MCL1,TP53,any
APC,CTNNB1,any
>APC,5.68444760337753
TP53,PTEN,any
APC,TP53,any
APC,CTNNB1,any
>APC,5.878971933670686
APC,TP53,any
SETDB1,APC,any
APC,CTNNB1,any
>APC,5.992784596960096
TP53,PTEN,any
APC,TP53,any
TP53,MCL1,any
>APC,5.659639344487056
TP53,PTEN,any
TP53,APC,any
HIPK2,TP53,any
>SETDB1,5.754517613653578
TP53,PTEN,any
THAP8,TP53,any
THAP8,SETDB1,any
>SETDB1,5.764970654752981
TP53,PTEN,any
PPA1,SETDB1,any
PPA1,TP53,any
>SETDB1,6.004517613653578
TP53,PTEN,any
PIAS4,TP53,any
PIAS4,SETDB1,any
>SETDB1,5.897774875344629
GRB7,SETDB1,any
PDGFRB,GRB7,any
PDGFRB,PTEN,any
>SETDB1,5.878971933670686
APC,TP53,any
SETDB1,APC,any
APC,CTNNB1,any
>DOCK1,6.010846300962398
PIK3R1,BCL2L1,any
DOCK1,PIK3R1,any
PIK3R1,PIK3CA,any
>DOCK1,5.725391057068886
DOCK1,PIK3CA,any
PIK3CA,PIK3R1,any
PIK3R1,ERBB3,any
>DOCK1,5.491849504285526
DOCK1,PIK3CA,any
PIK3R1,SNX8,any
DOCK1,PIK3R1,any
>DOCK1,5.630588278806589
ERBB2,MYC,any
DOCK1,PIK3R1,any
PIK3R1,ERBB2,any
>DOCK1,5.726355345944075
DOCK1,PIK3CA,any
DOCK1,PIK3R1,any
PIK3R1,ERBB2,any
>JAK2,5.497208592848548
ERBB2,JAK2,any
ERBB2,PIK3R1,any
PIK3R1,PIK3CA,any
>JAK2,5.6817523880631216
MYC,ERBB2,any
JAK2,PIK3CA,any
ERBB2,JAK2,any
>JAK2,5.664639674903205
JAK2,PIK3CA,any
PIK3CA,BCL2L1,any
JAK2,PIK3R1,any
>JAK2,5.567566344930702
ERBB2,MYC,any
JAK2,PIK3CA,any
JAK2,ERBB2,any
ERBB2,PIK3R1,any
>JAK2,5.371196983927015
PIK3R1,JAK2,any
PIK3R1,PIK3CA,any
ERBB3,PIK3R1,any
>ERBB2,6.107564449419593
ERBB2,SYK,any
SYK,PIK3CA,any
ERBB2,PIK3R1,any
>ERBB2,6.305736685494932
SUPT6H,ERBB2,any
ERBB2,PIK3R1,any
PIK3R1,PIK3CA,any
>ERBB2,6.451368541986945
PIK3R1,BCL2L1,any
BCL2L1,PIK3CA,any
ERBB2,PIK3R1,any
>ERBB2,6.976904717017355
ERBB2,MYC,any
PIK3R1,ERBB2,any
PIK3CA,PIK3R1,any
>ERBB2,6.206261927819963
IRS2,PIK3R1,any
IRS2,PIK3CA,any
PIK3R1,ERBB2,any
>CACNA1G,5.7431785056915095
CACNA1G,UBQLN4,any
CACNA1G,CTNNB1,any
CTNNB1,MYC,any
>CACNA1G,5.480326117003678
CACNA1G,UBQLN4,any
CTNNB1,DNM2,any
CACNA1G,CTNNB1,any
>CACNA1G,5.741860546494278
MYC,ERBB2,any
CACNA1G,CTNNB1,any
CTNNB1,MYC,any
>CACNA1G,5.691170103420385
CTNNB1,DNM2,any
CTNNB1,CACNA1G,any
CTNNB1,MYC,any
>CACNA1G,5.591636805672456
MYC,TP53,any
CACNA1G,UBQLN4,any
CACNA1G,CTNNB1,any
CTNNB1,MYC,any
>IRS1,5.749649316447151
IRS1,ERBB2,any
PIK3R1,PIK3CA,any
IRS1,PIK3R1,any
>IRS1,5.675576562477395
ERBB2,IRS1,any
MYC,ERBB2,any
IRS1,PIK3CA,any
>IRS1,5.91711724367503
IRS1,PIK3CA,any
PIK3CA,BCL2L1,any
PIK3CA,PIK3R1,any
>IRS1,5.349150359751099
IRS1,ERBB2,any
IRS1,PIK3CA,any
PIK3CA,BCL2L1,any
PIK3CA,PIK3R1,any
>IRS1,5.42890160688322
ERBB2,IRS1,any
ERBB2,MYC,any
ERBB2,PIK3R1,any
>ITGB3,5.642362365276834
ITGB3,PTK2B,any
ITGB3,PIK3R1,any
PIK3CA,ITGB3,any
>ITGB3,5.101735566457483
PDGFRB,PIK3R1,any
PDGFRB,MYC,any
PDGFRB,PIK3CA,any
PIK3CA,ITGB3,any
>ITGB3,5.669147952912612
BCL2L1,PIK3R1,any
PIK3CA,BCL2L1,any
ITGB3,PIK3CA,any
>ITGB3,5.096991577691557
PIK3R1,IRS2,any
ITGB3,PIK3R1,any
ITGB3,PIK3CA,any
>ITGB3,5.145957724999085
PIK3R1,SNX8,any
PIK3CA,PIK3R1,any
ITGB3,PIK3CA,any
>PIK3C2B,5.681729509670459
PIK3C2B,PIK3CA,any
PIK3R1,BCL2L1,any
PIK3C2B,PIK3R1,any
>PIK3C2B,5.158563284859761
PIK3C2B,PIK3CA,any
SNX8,PIK3R1,any
PIK3R1,PIK3C2B,any
>PIK3C2B,5.1739136932724294
BCL2L1,TP53,any
PIK3C2B,PIK3CA,any
PIK3CA,BCL2L1,any
PIK3CA,PIK3R1,any
>PIK3C2B,5.388367245444309
PIK3C2B,PIK3CA,any
PIK3C2B,PIK3R1,any
PIK3R1,ERBB3,any
>PIK3C2B,5.514543174321313
PIK3C2B,PIK3CA,any
PIK3C2B,PIK3R1,any
PIK3R1,ERBB2,any
>RHOA,5.646422177812742
ARHGEF10,RHOA,any
RHOA,PIK3R1,any
PIK3R1,PIK3CA,any
>RHOA,5.681729509670459
RHOA,PIK3R1,any
PIK3CA,RHOA,any
BCL2L1,PIK3CA,any
>RHOA,5.950229132228338
RHOA,ARHGEF2,any
RHOA,PIK3CA,any
PIK3CA,PIK3R1,any
>RHOA,5.598935314137501
PIK3CA,PTEN,any
ARHGEF2,RHOA,any
RHOA,PIK3CA,any
>RHOA,5.652690891441713
ARHGEF10,RHOA,any
RHOA,ARHGEF2,any
RHOA,PIK3CA,any
PIK3CA,PIK3R1,any
>PIK3CA,6.419583646916525
CDH1,PIK3CA,any
CDH1,PIK3R1,any
DNM2,CDH1,any
>PIK3CA,6.467392116590537
BCL2L1,TP53,any
BCL2L1,PIK3CA,any
PIK3CA,PIK3R1,any
>PIK3CA,6.4055742578530666
BRCA1,PIK3R1,any
BRCA1,MYC,any
PIK3R1,PIK3CA,any
>PIK3CA,6.451368541986945
PIK3R1,BCL2L1,any
BCL2L1,PIK3CA,any
ERBB2,PIK3R1,any
>PIK3CA,6.976904717017355
ERBB2,MYC,any
PIK3R1,ERBB2,any
PIK3CA,PIK3R1,any
>SHB,5.91711724367503
SHB,PIK3CA,any
SHB,PIK3R1,any
PIK3CA,BCL2L1,any
>SHB,5.749649316447151
SHB,PIK3CA,any
SHB,PIK3R1,any
PIK3R1,ERBB2,any
>SHB,5.3939350075668795
SHB,PIK3CA,any
SNX8,PIK3R1,any
PIK3R1,SHB,any
>SHB,5.623616462594645
SHB,PIK3CA,any
SHB,PIK3R1,any
PIK3R1,ERBB3,any
>SHB,5.42890160688322
MYC,ERBB2,any
PIK3R1,SHB,any
ERBB2,PIK3R1,any
>RAC1,6.061030692984991
RAC1,MYC,any
RAC1,PIK3CA,any
PIK3CA,PIK3R1,any
>RAC1,5.512269891580031
RAC1,PIK3CA,any
CTNNB1,MYC,any
RAC1,CTNNB1,any
>RAC1,5.950229132228338
RAC1,PIK3R1,any
RAC1,ARHGEF2,any
RAC1,PIK3CA,any
>RAC1,5.681729509670459
BCL2L1,PIK3R1,any
PIK3CA,RAC1,any
BCL2L1,PIK3CA,any
