GeneA	GeneB	MEScore
VLDLR	ITGB1	0.0
CDH1	EPHA2	0.0
ERBB3	SOS1	3.9633576589174195
ARNT	FLT1	0.0
DAB1	FYN	0.0
TP53	PTEN	9.473927521860853
PIK3R1	CCND3	0.0
FYN	SOS1	0.0
CD19	AKT1	0.0
RELN	CRKL	2.2802389661575337
ITGB1	PIK3CA	5.315072906367325
EPHA2	SRC	0.0
FYN	VLDLR	0.0
PIK3R1	RAC1	0.0
CBL	PXN	0.0
CTNND1	EPHA2	0.0
JAK3	AKT1	0.0
MS4A2	SYK	2.121320343559643
JAK2	VAV2	2.029982436718843
SRC	AKT1	0.0
DAB1	VLDLR	0.0
ITGA2B	PIK3CA	6.192844341950067
DAB1	AKT1	0.0
CTNNA1	CTNND1	2.121320343559643
ERBB2	PIK3R1	6.973634492602061
MS4A2	PIK3R1	4.607919181288746
CRKL	PIK3R1	4.592676385936225
SRC	STAT3	0.0
IL2RG	JAK1	1.8660254037844386
ABL1	DNM2	4.509198980312529
IL2RB	STAT3	0.0
ABL1	EGFR	1.7677669529663689
JAK3	PIK3R1	0.0
ABL1	CRK	0.0
PIK3CA	AKT1	6.204564529800094
JAK1	LCK	0.0
SRC	VAV2	0.0
IL2RG	PTPN11	1.5731321849709863
JAK2	RELA	0.0
ARNT	KDR	4.13493408138707
EGFR	STAT3	1.7320508075688772
LCK	RELA	0.0
JAK3	LCK	0.0
ITGA2B	PIK3R1	4.973944585073184
IL2RG	LCK	0.0
CRK	SRC	0.0
MYC	CSDE1	5.155870949147037
IRS1	PTPN11	1.5731321849709863
TP53	VCAN	4.771150241737765
CRKL	DOCK1	2.0907702751760278
JAK1	CCND3	0.0
TEK	FES	1.7677669529663689
FYN	KDR	0.0
SHB	SRC	0.0
JAK1	SOS1	2.224744871391589
IL2RB	SOS1	0.0
PIK3R1	RELN	5.195410596324917
CBL	ITGB1	1.7071067811865475
IL2RG	SOS1	2.0907702751760278
FLT1	PIK3R1	0.0
AR	CTNNB1	4.834652370381325
ABL1	ERBB3	3.8566467762757255
IL2RB	CCND3	0.0
FLT1	PIK3CA	0.0
EP300	MAX	2.776346383927595
IL12RB1	PIK3R1	4.815025962475294
SOS1	RAC1	0.0
CRK	IRS1	0.0
MS4A2	PTPN11	1.4142135623730951
IRS1	JAK1	1.8660254037844386
JAK3	CCND3	0.0
FYN	SRC	0.0
CBL	PAK1	0.0
EGFR	PIK3R1	4.592676385936225
JAK3	MYC	0.0
CBL	CRKL	1.8660254037844386
JAK3	CBL	0.0
MAX	BCL2	2.9208096264818897
LCK	NFKBIA	0.0
PIK3CA	SRC	0.0
TP53	EPHA2	0.0
CDH1	RHOA	0.0
EGFR	GSN	1.5731321849709863
CBL	PDGFRB	2.224744871391589
AR	CCND1	2.618033988749895
LCK	RHOA	0.0
IL12RB1	NFKBIA	1.5731321849709863
ESR1	SOS1	2.5476205269238843
PIK3R1	MTOR	5.704244455701851
AGAP2	CCND1	2.1648447548978726
ITGB4	PIK3CA	0.0
PIK3CA	RELA	0.0
TRIM28	CCND3	0.0
PDGFRB	PTPN11	1.6726039399558574
CTNND1	EGFR	2.2802389661575337
SOS1	CCND3	0.0
PIK3CA	UFD1L	0.0
IRS1	CBL	1.8660254037844386
ITGB1	TEK	1.8251407699364424
JAK1	MYC	4.741657386773941
IL2RB	PTPN11	0.0
ESR1	SRC	0.0
RAC1	MYC	0.0
IL2RG	STAT3	1.7320508075688772
AKT1	MTOR	2.4471642338686284
CDH1	EXOC3	4.050455431442803
EGFR	ITGA6	1.7320508075688772
CDH2	CTNNB1	4.707106781186548
ITGB3	PXN	0.0
FYN	LCK	0.0
MCL1	TP53	6.4467120310736625
ABL1	FYN	0.0
CDH1	ERBB2	5.004337756448419
PTPN11	SOS1	1.9318516525781364
PIK3R1	RHOA	0.0
DNM2	PDGFRB	4.615909862954223
DOCK1	PAK1	0.0
PIK3R1	RELA	0.0
MYC	ITGB4	0.0
PAK1	RHOA	0.0
BRCA1	PIK3R1	4.973944585073184
PIK3R1	CCND1	5.415552041468521
RELN	AKT1	2.2802389661575337
JAK3	SYK	0.0
PIK3R1	PXN	0.0
PAK1	PXN	0.0
IL2RG	CBL	1.642521127880033
IL2RG	IRS1	1.7320508075688772
CRKL	RAC1	0.0
CDH1	ITGA6	2.8025170768881473
FYN	CTNNA1	0.0
BCL2L1	TP53	5.937773566363564
CTNND1	PAK1	0.0
JAK3	RHOA	0.0
CDH1	CTNND1	3.2268189319982725
ITGA6	PIK3R1	4.989131029402099
BRCA1	MYC	4.590941510222273
ITGA6	ITGB1	1.5731321849709863
ITGB4	PIK3R1	0.0
VLDLR	AKT1	0.0
CRKL	PXN	0.0
EGFR	RAC1	0.0
DDX5	PIK3CA	6.022179687553873
JAK2	SRC	0.0
CBL	CRK	0.0
IL2	SYK	0.0
PIK3C2B	PIK3CA	0.0
APC	CTNNA1	2.3654191763642474
FES	IRS2	2.5243377989621383
JAK2	CBL	1.7071067811865475
CD19	PIK3CA	0.0
JAK2	PTPN11	1.4142135623730951
STAT3	MYC	4.432022887624383
CDH1	EGFR	2.8025170768881473
ERBB3	JAK3	0.0
DAPP1	VAV2	2.188901059316734
MS4A2	CBL	1.7071067811865475
ABL1	GRB2	0.0
IL2RG	SYK	2.2802389661575337
IRS2	JAK1	2.6583123951777
CDH2	PAK1	0.0
DDX5	TP53	4.787122189123969
LCK	SYK	0.0
DNM2	CTNNB1	7.3911649915626345
IL2RG	PIK3CA	5.815072906367325
CRK	EGFR	0.0
ERBB3	ITGB4	0.0
TEK	CRK	0.0
FLT1	KDR	0.0
MYC	ERBB2	6.521027222886639
ITGB1	PAK1	0.0
IL2RB	JAK1	0.0
ABL1	ERBB2	4.358404337953825
SYK	NFKBIA	2.121320343559643
GSN	PIK3CA	6.0456459072022035
IL2RG	PIK3R1	4.592676385936225
GRB2	PIK3C2B	0.0
KDR	SOS1	1.9318516525781364
CD19	VAV2	0.0
CBL	PIK3CA	6.022179687553873
IL2	PIK3R1	0.0
ERBB3	ITGA6	3.6046381913102694
CBL	GRB2	0.0
RHOA	RAC1	0.0
CTNNB1	VCAN	4.984344362627307
MAX	TRRAP	2.618033988749895
IRS1	CRKL	1.7320508075688772
JAK1	JAK2	1.4354143466934852
KDR	PAK1	0.0
ABL1	SRC	0.0
KDR	SRC	0.0
PIK3R1	PTPN11	4.8302124068042085
GRB2	IL2RG	0.0
TEK	FYN	0.0
IL2RB	IL2RG	0.0
