MYC,TP53,any
GCN1L1,MYC,any
MYC,DNMT3A,any
MYC,CEBPA,any
>CEBPA,3.354900848947697
MYC,TP53,any
MYC,DNMT3A,any
CEBPA,MYC,any
>MYB,2.4769116104461
SP100,MYB,any
MYB,NRAS,any
DNMT3A,SP100,any
>MYB,2.2910678019438246
MYB,SP100,any
SND1,MYB,any
SP100,DNMT3A,any
>MYB,2.3661852006060835
MYB,KIT,any
KIT,PTPN11,any
MYB,NRAS,any
>MYB,2.649327996793746
MYC,TP53,any
MYB,MYC,any
MYC,DNMT3A,any
>MYB,2.384443921777425
MYB,SP100,any
KIT,MYB,any
SP100,DNMT3A,any
>SMURF2,1.9519716382329886
NRAS,PLCE1,any
NRAS,SMURF2,any
SMURF2,TNPO3,any
>SMURF2,1.6687293882604248
NRAS,PLCE1,any
MYB,KIT,any
NRAS,SMURF2,any
MYB,NRAS,any
>SMURF2,1.675352617738402
MYB,KIT,any
NRAS,SMURF2,any
NRAS,MYB,any
>SMURF2,1.6557100296053324
MYB,KIT,any
NRAS,SMURF2,any
SND1,MYB,any
MYB,NRAS,any
>SMURF2,1.6087909060863488
NRAS,EEF1A1,any
NRAS,PLCE1,any
EEF1A1,ZCCHC10,any
SMURF2,NRAS,any
>DIS3,2.1650635094610964
ZBTB17,DNMT3A,any
DIS3,ZBTB17,any
ZBTB17,SP1,any
>DIS3,2.8265013372272443
ZBTB17,HDAC3,any
ZBTB17,DNMT3A,any
DIS3,ZBTB17,any
>DIS3,2.2612010697817952
DIS3,EXOSC10,any
ZBTB17,HDAC3,any
ZBTB17,DNMT3A,any
DIS3,ZBTB17,any
>DIS3,2.179264403068835
ZBTB17,UBE2H,any
DIS3,METTL11A,any
ZBTB17,DNMT3A,any
DIS3,ZBTB17,any
>DIS3,2.724080503836044
ZBTB17,UBE2H,any
ZBTB17,DNMT3A,any
DIS3,ZBTB17,any
>ZMAT2,1.7524919187745613
FXR2,ZMAT2,any
HNRNPC,FXR2,any
KRAS,HNRNPC,any
>ZMAT2,1.8319512300735068
KRT40,RNF213,any
KRT40,ZMAT2,any
WT1,KRT40,any
>ZMAT2,2.3444232432646714
GOLGA2,ZMAT2,any
DNMT3A,TCL1A,any
TCL1A,GOLGA2,any
>ZMAT2,1.875538594611737
GOLGA2,ZMAT2,any
GOLGA2,DTX2,any
TCL1A,DNMT3A,any
TCL1A,GOLGA2,any
>ZMAT2,1.6228680624634217
ZMAT2,MTUS2,any
CEP76,ZMAT2,any
ZMAT2,FXR2,any
>TNIP1,1.875538594611737
TXLNA,TNIP1,any
TCL1A,TXLNA,any
TCL1A,DNMT3A,any
TCL1A,AKT1,any
>TNIP1,1.5164243197685507
GABARAPL2,TNIP1,any
MAGEB18,TP53,any
TNIP1,MAGEB18,any
>TNIP1,2.047446451191365
CALCOCO2,GABARAPL2,any
TCL1A,CALCOCO2,any
GABARAPL2,TNIP1,any
TCL1A,DNMT3A,any
>TNIP1,1.478397839480233
TYRO3,KRTAP10-8,any
TYRO3,TNIP1,any
KRTAP10-8,WT1,any
>TNIP1,1.5027969690058316
U2AF1,HNRNPK,any
AP1M1,TNIP1,any
AP2B1,U2AF1,any
AP1M1,AP2B1,any
>PLCE1,1.9519716382329886
NRAS,PLCE1,any
NRAS,SMURF2,any
SMURF2,TNPO3,any
>PLCE1,2.085911735325531
NRAS,EEF1A1,any
NRAS,PLCE1,any
EEF1A1,KRAS,any
>PLCE1,2.010988632607936
NRAS,EEF1A1,any
NRAS,PLCE1,any
EEF1A1,ZCCHC10,any
>PLCE1,2.0806182722476487
NRAS,PLCE1,any
SMAD4,CBFB,any
NRAS,SMAD4,any
>PLCE1,2.0375830970996205
NRAS,EEF1A1,any
NRAS,PLCE1,any
ZCCHC10,TP53,any
EEF1A1,ZCCHC10,any
>ZHX1,2.229218825323513
ZHX1,IDH1,any
TP53,ZHX1,any
ZCCHC10,TP53,any
>ZHX1,2.101919861081349
MET,PTPN11,any
ZHX1,TP53,any
IDH1,ZHX1,any
TP53,MET,any
>ZHX1,2.1258268733816736
APC,TP53,any
ZHX1,IDH1,any
TP53,ZHX1,any
SMC3,APC,any
>ZHX1,2.649327996793746
TP53,ZHX1,any
DNMT3A,CDKN1A,any
CDKN1A,TP53,any
>ZHX1,2.119462397434997
MAX,GSK3B,any
GSK3B,ZHX1,any
DNMT3A,MAX,any
GSK3B,TP53,any
>CNOT4,1.5590169943749475
CNOT4,UBE2D3,any
RNF4,TP53,any
UBE2D3,RNF4,any
>CNOT4,1.4398553605712026
CNOT4,UBE2D2,any
UBE2W,CNOT4,any
EED,UBE2W,any
>CNOT4,1.5953353488403288
UBE2D2,CNOT4,any
UBE2D2,ARIH2,any
ARIH2,TP53,any
>CNOT4,1.4519716382329886
EEF1A1,NRAS,any
UBE2E3,EEF1A1,any
CNOT4,UBE2E3,any
>CNOT4,1.469041575982343
TRIM32,PTPN11,any
CNOT4,UBE2N,any
CNOT4,UBE2D2,any
UBE2N,TRIM32,any
>APC,1.9501768105405446
APC,TP53,any
SMC3,APC,any
APC,DST,any
>APC,2.1258268733816736
APC,TP53,any
ZHX1,IDH1,any
TP53,ZHX1,any
SMC3,APC,any
>APC,1.850276388035915
TP53,APC,any
MAX,TP53,any
CEBPA,MAX,any
>APC,2.060660171779821
TP53,APC,any
ZHX1,TP53,any
IDH1,ZHX1,any
>APC,2.119462397434997
TP53,APC,any
RNASEN,TP53,any
TP53,MAX,any
MAX,DNMT3A,any
>AFF4,2.393488635335025
GOLGA2,AFF4,any
DNMT3A,TCL1A,any
TCL1A,GOLGA2,any
>AFF4,1.9275616033276428
AP2B1,AFF4,any
U2AF1,HNRNPK,any
U2AF1,AP2B1,any
>AFF4,1.7240864152180422
AP2B1,AFF4,any
U2AF1,HNRNPK,any
AFF4,MTUS2,any
U2AF1,AP2B1,any
>AFF4,1.9147909082680201
AFF4,GOLGA2,any
TCL1A,DNMT3A,any
GOLGA2,TFAP4,any
GOLGA2,TCL1A,any
>AFF4,1.767379688124342
AP2B1,ACVR1,any
AP2B1,AFF4,any
ACVR1,NRAS,any
U2AF1,AP2B1,any
>EZH2,1.6672636861436958
EGFR,TP53,any
EZH2,MAPK8IP2,any
MAPK8IP2,EGFR,any
>EZH2,1.636308110070411
TK1,TP53,any
EZH2,SMN1,any
TK1,EZH2,any
WDR60,TK1,any
>EZH2,2.045385137588014
TK1,TP53,any
TK1,EZH2,any
WDR60,TK1,any
>EZH2,1.7068229653541613
CEP63,EZH2,any
EZH2,PFDN1,any
SMC3,CEP63,any
>EZH2,1.629407135466265
CEP63,EXOC4,any
EZH2,CEP63,any
CEP63,SMC3,any
>ASNA1,1.519314671870148
PFDN1,EZH2,any
ASNA1,PFDN1,any
HILPDA,ASNA1,any
>ASNA1,1.5590169943749475
TK1,TP53,any
HILPDA,ASNA1,any
ASNA1,TK1,any
>ASNA1,1.6123724356957945
TK1,TP53,any
TK1,ASNA1,any
WDR60,TK1,any
>ASNA1,1.530056307974577
TK1,TP53,any
TK1,RBBP4,any
HILPDA,ASNA1,any
ASNA1,TK1,any
>ASNA1,1.8328542415550597
