SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
104	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
105	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
106	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
107	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
108	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
109	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
110	6	6	53	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2
111	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
112	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
113	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
114	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
115	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
116	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
117	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
118	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
119	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
120	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
121	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
122	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
123	6	7	50	WT1,NPM1,KIT,PTPN11,TP53,CEBPA,NPM3,NPM2,COX8A,KIAA1377,CARM1,SNAI2,PLEKHF2
