SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
67	27	11	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,MAPK14
68	27	11	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,MAPK14
69	27	11	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,MAPK14
70	27	11	71	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,MAPK14
71	28	11	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,MAPK14
72	28	11	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,MAPK14
73	28	11	72	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,MAPK14
74	28	13	69	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
75	28	13	69	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
76	28	13	69	TP53,PIK3CA,MYC,CCND1,ERBB2,PIK3R1,MAX,RB1,CDH1,EGFR,BRCA1,CTNNB1,PTEN,ERBB3,FOXA1,CDKN1B,APC,VCAN,TERT,AKT1,MYB,ATM,CDC42,CCNE1,RHOA,MAP3K1,IGF1R,GRB2,ITIH1,MCL1,NLRC4,ATXN1,VAV2,GCN1L1,SUPT6H,ANKS1B,CRK,IKBKB,ONECUT1,MAPK14,TTN
