Gene	APC	TP53	CTNNB1	NAV3	SMAD4	KRT23	PIK3CA	ANKRD17	NEB	NUPL2	GIGYF2	GRB2	EGFR	KRT14	MYC	VCAN	NCKAP5L	NUP98	RAC1	ERBB2
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0
GeneName	APC	TP53	CTNNB1	NAV3	SMAD4	KRT23	PIK3CA	ANKRD17	NEB	NUPL2	GIGYF2	GRB2	EGFR	KRT14	MYC	VCAN	NCKAP5L	NUP98	RAC1	ERBB2
TCGA-CK-4948-01	1	1					1		1											
TCGA-AF-6136-01	1	1					1					1								
TCGA-CM-6676-01	1	1					1						1		1					
TCGA-AY-5543-01	1	1					1						1				1			1
TCGA-G4-6307-01	1	1					1						1							1
TCGA-AG-3742-01	1	1					1						1							
TCGA-EF-5830-01	1	1					1						1							
TCGA-F4-6809-01	1	1					1						1							
TCGA-CM-6169-01	1	1					1						1							
TCGA-CM-5862-01	1	1					1						1							
TCGA-F4-6808-01	1	1					1						1							
TCGA-AF-2687-01	1	1					1						1							
TCGA-D5-6923-01	1	1					1								1					
TCGA-D5-5541-01	1	1					1								1					
TCGA-AG-3731-01	1	1					1								1					
TCGA-AG-4015-01	1	1					1									1				
TCGA-G5-6235-01	1	1					1									1				
TCGA-D5-6931-01	1	1					1									1				
TCGA-CI-6624-01	1	1					1											1		
TCGA-AH-6643-01	1	1					1													1
TCGA-AH-6544-01	1	1					1													1
TCGA-AA-3866-01	1	1					1													
TCGA-DC-6157-01	1	1					1													
TCGA-DC-6160-01	1	1					1													
TCGA-DM-A1HA-01	1	1					1													
TCGA-CM-5864-01	1	1					1													
TCGA-A6-6782-01	1	1					1													
TCGA-AA-3511-01	1	1					1													
TCGA-DM-A0XD-01	1	1					1													
TCGA-CI-6622-01	1	1					1													
TCGA-A6-5662-01	1	1					1													
TCGA-CI-6619-01	1	1					1													
TCGA-AA-3673-01	1	1					1													
TCGA-A6-6649-01	1	1					1													
TCGA-DY-A1DC-01	1	1					1													
TCGA-DC-5869-01	1	1					1													
TCGA-AD-6965-01	1	1					1													
TCGA-AD-6548-01	1	1					1													
TCGA-AA-A02W-01	1	1						1							1					
TCGA-DM-A1DA-01	1	1							1			1				1				
TCGA-A6-3810-01	1	1							1											
TCGA-AG-A01W-01	1	1							1											
TCGA-CM-5863-01	1	1									1									
TCGA-AG-3896-01	1	1									1									
TCGA-AA-3982-01	1	1											1		1					
TCGA-D5-6539-01	1	1											1			1				1
TCGA-AA-3542-01	1	1											1							
TCGA-CM-6677-01	1	1											1							
TCGA-AA-A02K-01	1	1											1							
TCGA-DM-A28E-01	1	1												1		1				
TCGA-AG-3902-01	1	1													1					1
TCGA-AA-3851-01	1	1													1					
TCGA-AG-A01Y-01	1	1													1					
TCGA-AA-A00D-01	1	1													1					
TCGA-AA-A01S-01	1	1													1					
TCGA-AA-3519-01	1	1														1				
TCGA-AG-3601-01	1	1														1				
TCGA-AA-3979-01	1	1																1		
TCGA-DM-A1D0-01	1	1																		1
TCGA-AA-3556-01	1	1																		1
TCGA-AG-3898-01	1	1																		1
TCGA-CM-5341-01	1	1																		1
TCGA-AG-4001-01	1	1																		
TCGA-AG-A032-01	1	1																		
TCGA-AG-3587-01	1	1																		
TCGA-AG-3594-01	1	1																		
TCGA-AG-A014-01	1	1																		
TCGA-AA-3531-01	1	1																		
TCGA-AA-3975-01	1	1																		
TCGA-A6-2671-01	1	1																		
TCGA-AA-A01Z-01	1	1																		
TCGA-AG-3909-01	1	1																		
TCGA-AG-3598-01	1	1																		
TCGA-AA-A02H-01	1	1																		
TCGA-AA-A02J-01	1	1																		
TCGA-AG-3581-01	1	1																		
TCGA-AA-A02F-01	1	1																		
TCGA-A6-3807-01	1	1																		
TCGA-AA-3553-01	1	1																		
TCGA-AG-3890-01	1	1																		
TCGA-AA-A00L-01	1	1																		
TCGA-AG-3609-01	1	1																		
TCGA-AG-3602-01	1	1																		
TCGA-A6-6142-01	1	1																		
TCGA-AG-A00C-01	1	1																		
TCGA-AA-3814-01	1	1																		
TCGA-AA-3972-01	1	1																		
TCGA-AA-3667-01	1	1																		
TCGA-AG-A036-01	1	1																		
TCGA-AG-3882-01	1	1																		
TCGA-AA-3685-01	1	1																		
TCGA-AG-3605-01	1	1																		
TCGA-AA-3930-01	1	1																		
TCGA-AA-3941-01	1	1																		
TCGA-AG-A01L-01	1	1																		
TCGA-AY-4071-01	1	1																		
TCGA-AF-2691-01	1	1																		
TCGA-AF-3913-01	1	1																		
TCGA-AA-3858-01	1	1																		
TCGA-F5-6702-01	1	1																		
TCGA-AA-A01F-01	1	1																		
TCGA-AG-3612-01	1	1																		
TCGA-CA-5797-01	1	1																		
TCGA-AA-3856-01	1	1																		
TCGA-AG-A026-01	1	1																		
TCGA-AA-3860-01	1	1																		
TCGA-AG-3726-01	1	1																		
TCGA-AA-3561-01	1	1																		
TCGA-AA-A00O-01	1	1																		
TCGA-AG-4008-01	1	1																		
TCGA-AG-3999-01	1	1																		
TCGA-AG-4007-01	1	1																		
TCGA-AF-3400-01	1	1																		
TCGA-CI-6620-01	1	1																		
