PIK3R1,BCL2L1,any
PTEN,PIK3R1,any
>PIK3R1,6.849290587974035
PTEN,TP53,any
PIK3R1,PTEN,any
TPX2,PIK3R1,any
>PIK3R1,6.653064493802075
BCL2L1,TP53,any
TP53,APC,any
BCL2L1,PIK3R1,any
>PIK3R1,6.759487230604242
PTEN,TP53,any
PTEN,PIK3R1,any
PIK3R1,SRC,any
>FBXO30,6.523271899419099
FBXO30,SMAD4,any
SMAD4,MYC,any
FBXO30,APC,any
>FBXO30,6.716552219802921
FBXO30,SMAD4,any
SMAD4,RBL1,any
FBXO30,APC,any
>FBXO30,6.822533102285266
SMAD4,ID1,any
FBXO30,SMAD4,any
FBXO30,APC,any
>FBXO30,6.772580136133904
SMAD4,HNF4A,any
FBXO30,SMAD4,any
