>HDAC2,6.1805347451637065
HDAC2,MDM2,any
HDAC2,TP53,any
TP53,TNFRSF10C,any
>HDAC2,6.27933523155924
MDM2,TP53,any
HDAC2,MDM2,any
HDAC2,CDKN1A,any
>HDAC2,6.324402065833294
MDM2,HDAC2,any
ATM,MDM2,any
ATM,TP53,any
>HDAC2,6.158262273498117
HDAC2,MDM2,any
TNFRSF10B,TP53,any
TP53,HDAC2,any
>HDAC2,6.109229111667905
BNIP3L,TP53,any
TP53,MDM2,any
MDM2,HDAC2,any
>CASP6,5.922835799288617
TP53,MDM2,any
MDM2,ATM,any
CASP6,TP53,any
>CASP6,5.4312167186358575
MYB,CASP6,any
CASP6,TP53,any
