Gene	TP53	MDM2	RB1	MYC	PIK3CA	ATM	CDKN1A	CCND1	APC	BCL2L1	CREBBP	DDX5	USP7	CTNNB1	ERBB2	PPARG	BNIP3L	HDAC2	EWSR1	TK1	TRRAP	BRCA1	YWHAZ	CDKN2A	EGFR	VCAN	SMARCA2	ARNT	MYB	TNFRSF10B	ATR	ERBB3	TNFRSF10C	FDXR	FOXA1	MCL1	GRB2	JAK2	PPP1CA	SMARCA4
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0
GeneName	TP53	MDM2	RB1	MYC	PIK3CA	ATM	CDKN1A	CCND1	APC	BCL2L1	CREBBP	DDX5	USP7	CTNNB1	ERBB2	PPARG	BNIP3L	HDAC2	EWSR1	TK1	TRRAP	BRCA1	YWHAZ	CDKN2A	EGFR	VCAN	SMARCA2	ARNT	MYB	TNFRSF10B	ATR	ERBB3	TNFRSF10C	FDXR	FOXA1	MCL1	GRB2	JAK2	PPP1CA	SMARCA4
TCGA-GU-A767-01	1													1	1	1					1									1									1	1
TCGA-GV-A3QH-01	1														1				1					1																
TCGA-DK-AA6L-01	1														1				1						1													1		
TCGA-XF-AAN3-01	1														1									1																
TCGA-HQ-A2OF-01	1														1											1														
TCGA-GU-A42P-01	1														1															1										
TCGA-GU-A766-01	1														1																1									
TCGA-KQ-A41S-01	1														1																									1
TCGA-FJ-A3Z7-01	1															1							1				1	1								1		1		
TCGA-UY-A9PE-01	1															1							1						1											
TCGA-BT-A2LD-01	1															1							1							1			1		1					1
TCGA-ZF-A9R4-01	1															1								1				1								1				
TCGA-ZF-A9R0-01	1																1							1						1			1							
TCGA-4Z-AA7M-01	1																			1			1																	
TCGA-DK-A3IM-01	1																				1																			
TCGA-XF-AAMW-01	1																					1																		
TCGA-XF-A8HH-01	1																						1									1								
TCGA-G2-AA3D-01	1																							1							1							1		
TCGA-ZF-AA54-01	1																							1																
TCGA-BT-A20X-01	1																							1																
TCGA-ZF-A9RD-01	1																							1																
TCGA-GU-A42Q-01	1																							1																
TCGA-BL-A13J-01	1																							1																
TCGA-FJ-A3ZF-01	1																										1					1								1
TCGA-GU-A764-01	1																										1											1		
TCGA-4Z-AA7Q-01	1																											1				1				1				
TCGA-YF-AA3M-01	1																														1	1								
TCGA-DK-AA74-01	1																														1									
TCGA-C4-A0F7-01	1																																							
TCGA-XF-AAMJ-01	1																																							
TCGA-CF-A47Y-01	1																																							
TCGA-CF-A5U8-01	1																																							
TCGA-GD-A2C5-01	1																																							
TCGA-FD-A3B8-01	1																																							
TCGA-DK-A3IS-01	1																																							
TCGA-GU-A762-01	1																																							
TCGA-DK-A2I2-01	1																																							
TCGA-XF-AAN2-01		1	1		1				1						1																									
TCGA-BT-A42C-01		1	1				1																	1			1											1		
TCGA-E7-A7PW-01		1	1								1				1	1	1								1					1			1							
TCGA-XF-A9SJ-01		1	1														1											1		1			1			1				
TCGA-XF-A9SW-01		1	1																									1								1				
TCGA-DK-A6B2-01		1		1	1											1							1					1								1				
TCGA-K4-A3WU-01		1		1		1								1									1		1															
TCGA-H4-A2HQ-01		1		1				1															1	1																
TCGA-ZF-AA4V-01		1		1									1															1								1				
TCGA-FD-A6TG-01		1		1												1																1								
TCGA-2F-A9KW-01		1			1								1			1			1		1		1					1				1				1				
TCGA-H4-A2HO-01		1			1										1	1							1					1								1				
TCGA-ZF-AA4U-01		1			1																											1								
TCGA-FD-A62P-01		1			1																																			
TCGA-CF-A7I0-01		1					1																																	
TCGA-XF-AAMZ-01		1						1															1	1														1		
TCGA-XF-AAN4-01		1						1																1			1											1		
TCGA-FD-A6TB-01		1							1	1					1																	1						1		
TCGA-DK-AA6P-01		1							1									1	1				1	1			1		1			1						1		
TCGA-DK-AA75-01		1								1			1		1	1					1		1		1		1			1										
TCGA-K4-A3WV-01		1								1														1																
TCGA-DK-A1A7-01		1									1					1	1		1				1				1			1			1							
TCGA-C4-A0F6-01		1									1													1																
TCGA-BT-A0S7-01		1									1													1																
TCGA-FT-A61P-01		1									1																			1										
TCGA-GC-A3RD-01		1									1																													
TCGA-ZF-A9RC-01		1														1							1					1								1				
TCGA-XF-AAMY-01		1														1							1																	
TCGA-XF-A9SH-01		1																		1								1						1			1			
TCGA-FD-A5BZ-01		1																					1	1																
TCGA-S5-A6DX-01		1																						1																
TCGA-G2-A2EK-01		1																																						
TCGA-CF-A3MI-01		1																																						
TCGA-SY-A9G0-01		1																																						
TCGA-C4-A0F0-01			1	1							1						1													1			1							
TCGA-E7-A4IJ-01			1		1									1																		1						1		
TCGA-GD-A3OP-01			1		1																																			
TCGA-E7-A85H-01			1			1				1						1	1						1				1			1			1			1		1		
TCGA-KQ-A41Q-01			1				1			1						1												1			1									
TCGA-CU-A3QU-01			1				1						1															1								1				
TCGA-XF-A9SG-01			1				1										1											1		1			1			1				
TCGA-E7-A541-01			1							1		1																	1	1	1	1								
TCGA-ZF-AA4X-01			1							1																														
TCGA-GV-A3QI-01			1								1					1			1									1		1			1			1				
TCGA-4Z-AA81-01			1								1																					1								
TCGA-YF-AA3L-01			1								1																													
TCGA-CU-A0YN-01			1									1								1					1	1								1			1			
TCGA-MV-A51V-01			1													1												1								1				
TCGA-DK-A2I4-01			1													1																								
TCGA-UY-A78K-01			1													1																								
TCGA-FD-A6TH-01			1														1									1				1			1							
TCGA-DK-A1AE-01			1																			1	1	1																
TCGA-E7-A97P-01			1																					1		1		1												
TCGA-FD-A5C0-01			1																							1														
TCGA-DK-AA6M-01			1																																					
TCGA-DK-AA6T-01			1																																					
TCGA-K4-A3WS-01				1	1	1																1		1																
TCGA-GV-A40E-01				1		1	1	1	1														1	1																
TCGA-CU-A0YR-01				1		1							1		1	1							1						1											
TCGA-UY-A9PF-01				1		1											1						1							1			1							
TCGA-E7-A4XJ-01				1		1																	1																	
TCGA-BT-A42B-01				1				1															1	1																
TCGA-ZF-A9R9-01				1					1	1													1				1													
TCGA-G2-A3VY-01				1						1							1						1							1			1							
TCGA-G2-A2EO-01				1								1											1															1		
TCGA-BT-A20W-01				1												1			1			1	1					1								1				
TCGA-XF-AAMG-01				1												1							1					1								1				
TCGA-FD-A6TA-01				1																	1			1														1		1
TCGA-DK-A3IT-01				1																									1											
TCGA-XF-A8HI-01					1	1		1																1																
TCGA-G2-AA3C-01					1	1									1									1		1														
TCGA-XF-AAME-01					1	1												1																						
TCGA-2F-A9KO-01					1	1													1					1																
TCGA-DK-A1AG-01					1	1																		1								1								
TCGA-FD-A3B5-01					1	1																		1																
TCGA-CF-A9FF-01					1		1									1																								
TCGA-FD-A5C1-01					1		1														1																			
TCGA-ZF-A9R2-01					1		1																	1																
TCGA-DK-A6B5-01					1					1						1					1			1		1														
TCGA-GC-A3I6-01					1					1																														
TCGA-DK-AA76-01					1						1													1						1			1					1		
TCGA-CU-A5W6-01					1							1			1									1																
TCGA-2F-A9KR-01					1							1												1										1			1			
TCGA-K4-A83P-01					1								1		1		1						1							1			1							
TCGA-FD-A3SN-01					1										1				1								1					1								
TCGA-CF-A5UA-01					1										1									1																
TCGA-ZF-AA5P-01					1											1							1																	
TCGA-FD-A5BX-01					1												1		1					1						1			1							
TCGA-4Z-AA89-01					1																1	1		1																
TCGA-GU-AATQ-01					1																	1		1																
TCGA-4Z-AA7Y-01					1																			1				1												
TCGA-BT-A20Q-01					1																			1																
TCGA-CU-A72E-01					1																			1																
TCGA-GD-A76B-01					1																			1																
TCGA-ZF-AA56-01					1																			1																
TCGA-E7-A5KF-01						1	1	1																																
TCGA-5N-A9KM-01						1	1																	1																
TCGA-R3-A69X-01						1		1																1							1									
TCGA-S5-AA26-01						1		1																																
TCGA-YC-A9TC-01						1			1															1																
TCGA-GV-A3QG-01						1					1																													
TCGA-FD-A6TI-01						1						1								1				1										1			1			1
TCGA-FT-A3EE-01						1						1																												
TCGA-GV-A6ZA-01						1									1	1	1					1		1			1			1	1		1							
TCGA-BT-A3PK-01						1									1									1		1								1						
TCGA-FD-A3N6-01						1													1					1																
TCGA-BT-A42E-01						1																		1	1															
TCGA-KQ-A41N-01						1																					1													
TCGA-4Z-AA7S-01							1	1							1								1						1											
TCGA-CF-A3MG-01							1	1																1																
TCGA-ZF-A9R1-01							1			1														1																
TCGA-BT-A20T-01							1				1				1									1				1								1		1		1
TCGA-FD-A3SM-01							1				1													1											1					1
TCGA-CF-A27C-01							1					1								1				1										1			1			
TCGA-2F-A9KQ-01							1									1								1																
TCGA-GD-A3OQ-01							1										1							1			1			1		1	1					1		
TCGA-DK-A2HX-01							1																					1								1				1
TCGA-CF-A3MF-01							1																																	
TCGA-E7-A6MD-01								1		1						1					1						1													
TCGA-FD-A43U-01								1					1											1																
TCGA-DK-A6AV-01								1						1													1				1									
TCGA-UY-A8OD-01								1							1				1																					
TCGA-GV-A3JV-01								1								1													1											
TCGA-XF-A9T4-01								1													1			1																
TCGA-4Z-AA7O-01								1																1		1		1								1				
TCGA-XF-A9SV-01								1																1			1		1									1		
TCGA-GV-A3QK-01								1																1											1					
TCGA-ZF-A9R7-01								1																1																
TCGA-CF-A8HX-01								1																1																
TCGA-DK-A6B6-01								1																					1											
TCGA-XF-AAN8-01								1																					1											
TCGA-CF-A47V-01								1																							1									
TCGA-DK-A1AF-01								1																																
TCGA-LT-A8JT-01								1																																
TCGA-E5-A4U1-01								1																																
TCGA-FD-A62O-01									1	1																						1			1					
TCGA-DK-A3IQ-01									1			1								1				1			1							1			1			
TCGA-DK-A3X1-01										1		1											1					1								1				
TCGA-HQ-A2OE-01										1				1				1														1			1				1	
TCGA-FD-A6TC-01										1					1																									
TCGA-E7-A5KE-01										1																														
TCGA-BL-A5ZZ-01											1			1										1			1													
TCGA-FJ-A871-01											1			1										1																
TCGA-CU-A3YL-01											1				1		1							1						1			1							
TCGA-XF-AAN5-01											1				1									1																
TCGA-ZF-AA4R-01											1				1																									
TCGA-FJ-A3Z9-01											1						1													1			1							
TCGA-XF-A9SU-01											1												1	1		1														
TCGA-CF-A9FL-01											1													1																
TCGA-C4-A0F1-01											1															1														
TCGA-CF-A47X-01											1																1													
TCGA-G2-A2EF-01											1																					1								1
TCGA-DK-A6B0-01											1																													
TCGA-E7-A519-01											1																													
TCGA-BL-A0C8-01												1			1	1	1			1			1	1			1			1			1					1		
TCGA-ZF-A9R3-01												1			1					1				1										1			1			
TCGA-4Z-AA82-01												1											1	1										1			1			
TCGA-DK-A6B1-01													1																			1	1							
TCGA-E7-A677-01														1										1											1					
TCGA-XF-A9T2-01														1																										
TCGA-XF-AAMH-01														1																										
TCGA-2F-A9KT-01															1									1			1													
TCGA-FD-A5BU-01															1									1																
TCGA-XF-A9SL-01															1																									
TCGA-ZF-AA51-01																1									1															
TCGA-DK-A1AC-01																1												1								1				
TCGA-G2-AA3B-01																1																								
TCGA-XF-A8HD-01																1																								
TCGA-KQ-A41R-01																1																								
TCGA-XF-A9SP-01																	1													1			1							
TCGA-XF-A8HF-01																		1						1					1											
TCGA-FD-A5BT-01																		1										1	1											
TCGA-DK-AA6S-01																			1					1								1								1
TCGA-GC-A4ZW-01																			1								1											1		
TCGA-XF-A9ST-01																			1									1								1				
TCGA-XF-A9T0-01																			1																					
TCGA-XF-AAN1-01																					1			1																
TCGA-ZF-AA5N-01																					1																			
TCGA-XF-AAMR-01																						1		1																
TCGA-XF-A8HB-01																							1																	
TCGA-GV-A3QF-01																								1	1															
TCGA-BT-A0YX-01																								1			1											1		
TCGA-CF-A8HY-01																								1				1								1				
TCGA-FD-A43X-01																								1				1												
TCGA-DK-A1AA-01																								1								1								
TCGA-DK-A1A3-01																								1														1		
TCGA-UY-A8OC-01																								1																
TCGA-DK-A3WX-01																								1																
TCGA-CF-A47T-01																								1																
TCGA-FD-A43Y-01																								1																
TCGA-E7-A3X6-01																								1																
TCGA-XF-A9T8-01																								1																
TCGA-GU-A763-01																								1																
TCGA-CF-A9FH-01																								1																
TCGA-GC-A3BM-01																								1																
TCGA-BL-A13I-01																								1																
TCGA-DK-A3WW-01																								1																
TCGA-FD-A3SQ-01																								1																
TCGA-UY-A78P-01																								1																
TCGA-XF-A8HE-01																								1																
TCGA-BT-A20P-01																								1																
TCGA-CF-A1HR-01																								1																
TCGA-SY-A9G5-01																								1																
TCGA-E7-A8O7-01																								1																
TCGA-XF-A9T5-01																						
